warning_id,prediction_id,created_at,severity,threat_type,grid_id,kecamatan,kelurahan,time_window,risk_score,confidence,status,window_start,window_end,threshold_version
WRN-0027,PRD-00061,2025-12-11 15:00,Warning,CURANMOR,JKS-027,Setiabudi,Karet Kuningan,18:00-23:59,70,58,Active,2025-12-11T18:00+07:00,2025-12-12T00:00+07:00,dummy-v1
WRN-0028,PRD-00062,2025-12-28 15:00,Warning,CURAT,JKS-033,Jagakarsa,Srengseng Sawah,18:00-23:59,78,79,Acknowledged,2025-12-28T18:00+07:00,2025-12-29T00:00+07:00,dummy-v1
WRN-0029,PRD-00064,2025-10-24 15:00,Critical,CURAT,JKS-024,Mampang Prapatan,Mampang Prapatan,00:00-06:00,90,81,Active,2025-10-27T00:00+07:00,2025-10-27T06:00+07:00,dummy-v1
WRN-0030,PRD-00066,2025-10-15 15:00,Critical,CURANMOR,JKS-012,Cilandak,Cilandak Barat,12:00-18:00,92,88,Active,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
WRN-0031,PRD-00067,2025-12-25 15:00,Critical,CURAS,JKS-004,Kebayoran Baru,Cipete Utara,18:00-23:59,93,90,Resolved,2025-12-25T18:00+07:00,2025-12-26T00:00+07:00,dummy-v1
WRN-0032,PRD-00070,2025-11-16 15:00,Warning,CURANMOR,JKS-011,Cilandak,Lebak Bulus,12:00-18:00,76,81,Active,2025-11-23T12:00+07:00,2025-11-23T18:00+07:00,dummy-v1
WRN-0033,PRD-00072,2025-12-07 15:00,Critical,CURANMOR,JKS-018,Pancoran,Duren Tiga,18:00-23:59,88,90,Active,2025-12-07T18:00+07:00,2025-12-08T00:00+07:00,dummy-v1
WRN-0034,PRD-00076,2025-12-17 15:00,Warning,CURANMOR,JKS-019,Pancoran,Kalibata,18:00-23:59,76,75,Active,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,dummy-v1
WRN-0035,PRD-00079,2025-12-09 15:00,Critical,CURAS,JKS-023,Tebet,Manggarai,18:00-23:59,93,98,Active,2025-12-12T18:00+07:00,2025-12-13T00:00+07:00,dummy-v1
WRN-0036,PRD-00080,2025-10-28 15:00,Warning,CURANMOR,JKS-026,Mampang Prapatan,Tegal Parang,18:00-23:59,77,82,Resolved,2025-11-04T18:00+07:00,2025-11-05T00:00+07:00,dummy-v1
WRN-0037,PRD-00081,2025-11-07 15:00,Critical,CURANMOR,JKS-005,Kebayoran Baru,Pulo,18:00-23:59,88,90,Resolved,2025-11-07T18:00+07:00,2025-11-08T00:00+07:00,dummy-v1
WRN-0038,PRD-00082,2025-11-17 15:00,Warning,CURANMOR,JKS-022,Tebet,Menteng Dalam,18:00-23:59,76,81,Resolved,2025-11-17T18:00+07:00,2025-11-18T00:00+07:00,dummy-v1
WRN-0039,PRD-00083,2025-12-08 15:00,Warning,CURAT,JKS-007,Kebayoran Lama,Kebayoran Lama Utara,18:00-23:59,74,78,Acknowledged,2025-12-09T18:00+07:00,2025-12-10T00:00+07:00,dummy-v1
WRN-0040,PRD-00084,2025-12-27 15:00,Warning,CURANMOR,JKS-026,Mampang Prapatan,Tegal Parang,18:00-23:59,78,77,Resolved,2025-12-30T18:00+07:00,2025-12-31T00:00+07:00,dummy-v1
WRN-0041,PRD-00088,2025-10-24 15:00,Warning,CURAS,JKS-033,Jagakarsa,Srengseng Sawah,18:00-23:59,82,88,Active,2025-10-25T18:00+07:00,2025-10-26T00:00+07:00,dummy-v1
WRN-0042,PRD-00090,2025-10-17 15:00,Warning,CURAS,JKS-014,Pasar Minggu,Pejaten Timur,18:00-23:59,79,68,Active,2025-10-24T18:00+07:00,2025-10-25T00:00+07:00,dummy-v1
WRN-0043,PRD-00094,2025-12-29 15:00,Warning,CURAT,JKS-012,Cilandak,Cilandak Barat,18:00-23:59,72,72,Acknowledged,2026-01-01T18:00+07:00,2026-01-02T00:00+07:00,dummy-v1
WRN-0044,PRD-00097,2025-12-12 15:00,Warning,CURANMOR,JKS-020,Tebet,Tebet Barat,00:00-06:00,79,73,Active,2025-12-12T00:00+07:00,2025-12-12T06:00+07:00,dummy-v1
WRN-0045,PRD-00099,2025-10-19 15:00,Critical,CURAT,JKS-033,Jagakarsa,Srengseng Sawah,18:00-23:59,89,83,Active,2025-10-22T18:00+07:00,2025-10-23T00:00+07:00,dummy-v1
WRN-0046,PRD-00101,2025-12-28 15:00,Warning,CURAS,JKS-030,Jagakarsa,Jagakarsa,18:00-23:59,76,84,Acknowledged,2025-12-28T18:00+07:00,2025-12-29T00:00+07:00,dummy-v1
WRN-0047,PRD-00104,2025-10-18 15:00,Warning,CURANMOR,JKS-033,Jagakarsa,Srengseng Sawah,18:00-23:59,83,90,Active,2025-10-21T18:00+07:00,2025-10-22T00:00+07:00,dummy-v1
WRN-0048,PRD-00105,2025-11-18 15:00,Critical,CURAS,JKS-018,Pancoran,Duren Tiga,00:00-06:00,94,98,Resolved,2025-11-25T00:00+07:00,2025-11-25T06:00+07:00,dummy-v1
WRN-0049,PRD-00106,2025-12-19 15:00,Warning,CURAT,JKS-015,Pasar Minggu,Ragunan,00:00-06:00,78,87,Active,2025-12-19T00:00+07:00,2025-12-19T06:00+07:00,dummy-v1
WRN-0050,PRD-00108,2025-11-04 15:00,Critical,CURANMOR,JKS-031,Jagakarsa,Ciganjur,12:00-18:00,92,98,Acknowledged,2025-11-05T12:00+07:00,2025-11-05T18:00+07:00,dummy-v1
WRN-0051,PRD-00109,2025-11-26 15:00,Warning,CURAT,JKS-020,Tebet,Tebet Barat,18:00-23:59,76,77,Acknowledged,2025-11-29T18:00+07:00,2025-11-30T00:00+07:00,dummy-v1
WRN-0052,PRD-00110,2025-12-10 15:00,Warning,CURAS,JKS-020,Tebet,Tebet Barat,18:00-23:59,70,73,Resolved,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,dummy-v1
WRN-0053,PRD-00111,2025-12-16 15:00,Critical,CURANMOR,JKS-028,Setiabudi,Kuningan Timur,18:00-23:59,95,89,Active,2025-12-16T18:00+07:00,2025-12-17T00:00+07:00,dummy-v1
WRN-0054,PRD-00112,2025-10-16 15:00,Warning,CURAT,JKS-022,Tebet,Menteng Dalam,00:00-06:00,79,71,Active,2025-10-16T00:00+07:00,2025-10-16T06:00+07:00,dummy-v1
WRN-0055,PRD-00114,2025-12-24 15:00,Warning,CURANMOR,JKS-014,Pasar Minggu,Pejaten Timur,12:00-18:00,73,75,Acknowledged,2025-12-27T12:00+07:00,2025-12-27T18:00+07:00,dummy-v1
WRN-0056,PRD-00117,2025-11-12 15:00,Warning,CURANMOR,JKS-012,Cilandak,Cilandak Barat,00:00-06:00,70,60,Active,2025-11-12T00:00+07:00,2025-11-12T06:00+07:00,dummy-v1
WRN-0057,PRD-00118,2025-11-08 15:00,Critical,CURANMOR,JKS-008,Kebayoran Lama,Grogol Utara,18:00-23:59,94,82,Resolved,2025-11-09T18:00+07:00,2025-11-10T00:00+07:00,dummy-v1
WRN-0058,PRD-00126,2025-10-16 15:00,Warning,CURAT,JKS-003,Kebayoran Baru,Kramat Pela,18:00-23:59,70,60,Acknowledged,2025-10-16T18:00+07:00,2025-10-17T00:00+07:00,dummy-v1
WRN-0059,PRD-00128,2025-11-22 15:00,Warning,CURAS,JKS-018,Pancoran,Duren Tiga,18:00-23:59,81,71,Resolved,2025-11-23T18:00+07:00,2025-11-24T00:00+07:00,dummy-v1
WRN-0060,PRD-00129,2025-11-13 15:00,Critical,CURANMOR,JKS-013,Pasar Minggu,Pejaten Barat,18:00-23:59,85,86,Resolved,2025-11-16T18:00+07:00,2025-11-17T00:00+07:00,dummy-v1
WRN-0061,PRD-00130,2025-10-18 15:00,Warning,CURANMOR,JKS-010,Cilandak,Gandaria Selatan,18:00-23:59,84,77,Resolved,2025-10-25T18:00+07:00,2025-10-26T00:00+07:00,dummy-v1
WRN-0062,PRD-00133,2025-10-30 15:00,Critical,CURANMOR,JKS-024,Mampang Prapatan,Mampang Prapatan,00:00-06:00,95,85,Active,2025-10-31T00:00+07:00,2025-10-31T06:00+07:00,dummy-v1
WRN-0063,PRD-00134,2025-11-12 15:00,Critical,CURAT,JKS-014,Pasar Minggu,Pejaten Timur,18:00-23:59,86,95,Resolved,2025-11-15T18:00+07:00,2025-11-16T00:00+07:00,dummy-v1
WRN-0064,PRD-00135,2025-12-11 15:00,Critical,CURANMOR,JKS-026,Mampang Prapatan,Tegal Parang,12:00-18:00,90,84,Acknowledged,2025-12-18T12:00+07:00,2025-12-18T18:00+07:00,dummy-v1
WRN-0065,PRD-00139,2025-12-29 15:00,Critical,CURANMOR,JKS-021,Tebet,Tebet Timur,18:00-23:59,91,81,Resolved,2026-01-01T18:00+07:00,2026-01-02T00:00+07:00,dummy-v1
WRN-0066,PRD-00142,2025-11-27 15:00,Warning,CURANMOR,JKS-024,Mampang Prapatan,Mampang Prapatan,18:00-23:59,81,73,Resolved,2025-11-27T18:00+07:00,2025-11-28T00:00+07:00,dummy-v1
WRN-0067,PRD-00143,2025-10-12 15:00,Critical,CURANMOR,JKS-012,Cilandak,Cilandak Barat,06:00-12:00,88,87,Resolved,2025-10-13T06:00+07:00,2025-10-13T12:00+07:00,dummy-v1
WRN-0068,PRD-00145,2025-12-06 15:00,Warning,CURANMOR,JKS-028,Setiabudi,Kuningan Timur,18:00-23:59,80,89,Active,2025-12-13T18:00+07:00,2025-12-14T00:00+07:00,dummy-v1
WRN-0069,PRD-00148,2025-12-21 15:00,Critical,CURANMOR,JKS-013,Pasar Minggu,Pejaten Barat,18:00-23:59,91,98,Active,2025-12-22T18:00+07:00,2025-12-23T00:00+07:00,dummy-v1
WRN-0070,PRD-00152,2025-12-28 15:00,Critical,CURANMOR,JKS-011,Cilandak,Lebak Bulus,06:00-12:00,94,91,Acknowledged,2025-12-28T06:00+07:00,2025-12-28T12:00+07:00,dummy-v1
WRN-0071,PRD-00156,2025-12-29 15:00,Critical,CURAS,JKS-004,Kebayoran Baru,Cipete Utara,18:00-23:59,88,90,Active,2025-12-29T18:00+07:00,2025-12-30T00:00+07:00,dummy-v1
WRN-0072,PRD-00158,2025-11-20 15:00,Warning,CURANMOR,JKS-031,Jagakarsa,Ciganjur,18:00-23:59,74,77,Resolved,2025-11-21T18:00+07:00,2025-11-22T00:00+07:00,dummy-v1
WRN-0073,PRD-00161,2025-10-17 15:00,Warning,CURAS,JKS-003,Kebayoran Baru,Kramat Pela,12:00-18:00,84,79,Acknowledged,2025-10-17T12:00+07:00,2025-10-17T18:00+07:00,dummy-v1
WRN-0074,PRD-00162,2025-12-04 15:00,Warning,CURANMOR,JKS-020,Tebet,Tebet Barat,18:00-23:59,72,80,Acknowledged,2025-12-04T18:00+07:00,2025-12-05T00:00+07:00,dummy-v1
WRN-0075,PRD-00164,2025-10-08 15:00,Warning,CURAT,JKS-018,Pancoran,Duren Tiga,00:00-06:00,70,62,Acknowledged,2025-10-11T00:00+07:00,2025-10-11T06:00+07:00,dummy-v1
WRN-0076,PRD-00165,2025-12-03 15:00,Warning,CURANMOR,JKS-011,Cilandak,Lebak Bulus,18:00-23:59,84,82,Acknowledged,2025-12-10T18:00+07:00,2025-12-11T00:00+07:00,dummy-v1
WRN-0077,PRD-00166,2025-10-26 15:00,Critical,CURANMOR,JKS-028,Setiabudi,Kuningan Timur,18:00-23:59,90,98,Resolved,2025-10-26T18:00+07:00,2025-10-27T00:00+07:00,dummy-v1
WRN-0078,PRD-00167,2025-10-17 15:00,Critical,CURAT,JKS-030,Jagakarsa,Jagakarsa,18:00-23:59,94,87,Acknowledged,2025-10-17T18:00+07:00,2025-10-18T00:00+07:00,dummy-v1
WRN-0079,PRD-00170,2025-12-05 15:00,Warning,CURAT,JKS-026,Mampang Prapatan,Tegal Parang,18:00-23:59,73,71,Active,2025-12-12T18:00+07:00,2025-12-13T00:00+07:00,dummy-v1
WRN-0080,PRD-00173,2025-10-29 15:00,Critical,CURAS,JKS-023,Tebet,Manggarai,12:00-18:00,89,97,Acknowledged,2025-10-30T12:00+07:00,2025-10-30T18:00+07:00,dummy-v1
WRN-0081,PRD-00174,2025-10-09 15:00,Warning,CURANMOR,JKS-004,Kebayoran Baru,Cipete Utara,18:00-23:59,80,83,Resolved,2025-10-12T18:00+07:00,2025-10-13T00:00+07:00,dummy-v1
WRN-0082,PRD-00175,2025-11-15 15:00,Warning,CURAS,JKS-002,Kebayoran Baru,Gunung,18:00-23:59,76,75,Active,2025-11-22T18:00+07:00,2025-11-23T00:00+07:00,dummy-v1
WRN-0083,PRD-00177,2025-11-26 15:00,Critical,CURAT,JKS-026,Mampang Prapatan,Tegal Parang,12:00-18:00,91,83,Resolved,2025-11-26T12:00+07:00,2025-11-26T18:00+07:00,dummy-v1
WRN-0084,PRD-00179,2025-11-17 15:00,Critical,CURANMOR,JKS-024,Mampang Prapatan,Mampang Prapatan,18:00-23:59,89,77,Active,2025-11-20T18:00+07:00,2025-11-21T00:00+07:00,dummy-v1
