incident_id,incident_type,incident_date,incident_time,polsek,kecamatan,kelurahan,grid_id,latitude,longitude,location_type,modus,target_type,status,is_synthetic
INC-00031,CURANMOR,2025-09-23,01:46,Polsek Cilandak,Cilandak,Cilandak Barat,JKS-012,-6.291285,106.804246,Jalan,lainnya,motor,Penyidikan,True
INC-00032,CURAT,2023-12-23,04:35,Polsek Tebet,Tebet,Tebet Timur,JKS-021,-6.230154,106.854441,Permukiman,rusak_kunci,rumah,Penyidikan,True
INC-00033,CURAS,2024-05-30,23:27,Polsek Jagakarsa,Jagakarsa,Ciganjur,JKS-031,-6.332223,106.795151,Permukiman,senjata_tajam,toko,Selesai,True
INC-00034,CURAT,2025-08-14,02:00,Polsek Jagakarsa,Jagakarsa,Ciganjur,JKS-031,-6.332663,106.794253,Jalan,lainnya,rumah,Selesai,True
INC-00035,TAWURAN,2025-10-18,03:52,Polsek Cilandak,Cilandak,Gandaria Selatan,JKS-010,-6.285365,106.796779,Jalan,kelompok_pelajar,kelompok_pelajar,Selesai,True
INC-00036,CURANMOR,2024-11-06,21:48,Polsek Mampang Prapatan,Mampang Prapatan,Bangka,JKS-025,-6.257738,106.814459,Parkiran,lainnya,mobil,Selesai,True
INC-00037,CURANMOR,2023-02-06,20:34,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.207433,106.850025,Parkiran,kelalaian_pengguna,motor,Penyelidikan,True
INC-00038,KEJAHATAN_JALANAN,2024-01-31,12:27,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.227705,106.834278,Permukiman,pencurian_ringan,pejalan_kaki,Penyidikan,True
INC-00039,CURANMOR,2024-07-22,23:13,Polsek Jagakarsa,Jagakarsa,Ciganjur,JKS-031,-6.335508,106.797125,Pusat Aktivitas,kelalaian_pengguna,motor,Dilaporkan,True
INC-00040,CURAS,2024-08-10,22:37,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.229706,106.832392,Jalan,senjata_tajam,toko,Selesai,True
INC-00041,CURANMOR,2023-01-29,13:00,Polsek Jagakarsa,Jagakarsa,Srengseng Sawah,JKS-033,-6.345381,106.82455,Pusat Aktivitas,kunci_t,mobil,Penyelidikan,True
INC-00042,CURANMOR,2024-03-20,07:18,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.209023,106.848797,Jalan,lainnya,mobil,Dilaporkan,True
INC-00043,TAWURAN,2024-04-20,19:02,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.229409,106.833107,Parkiran,kelompok_pelajar,kelompok_pelajar,Selesai,True
INC-00044,CURAT,2025-07-22,12:31,Polsek Setiabudi,Setiabudi,Karet Kuningan,JKS-027,-6.220276,106.829719,Jalan,congkel,kantor,Selesai,True
INC-00045,CURAS,2023-02-16,16:52,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.210077,106.851831,Pertokoan,perampasan_jalanan,pengendara,Selesai,True
INC-00046,CURAT,2025-08-25,20:07,Polsek Kebayoran Baru,Kebayoran Baru,Cipete Utara,JKS-004,-6.266445,106.798751,Parkiran,lainnya,toko,Penyelidikan,True
INC-00047,KEJAHATAN_JALANAN,2025-05-18,20:16,Polsek Jagakarsa,Jagakarsa,Srengseng Sawah,JKS-033,-6.345774,106.822079,Permukiman,lainnya,pejalan_kaki,Dilaporkan,True
INC-00048,KEJAHATAN_JALANAN,2024-01-25,19:01,Polsek Mampang Prapatan,Mampang Prapatan,Mampang Prapatan,JKS-024,-6.248478,106.820228,Parkiran,pemalakan,pejalan_kaki,Penyidikan,True
INC-00049,CURANMOR,2023-06-26,13:58,Polsek Mampang Prapatan,Mampang Prapatan,Bangka,JKS-025,-6.256669,106.814334,Permukiman,kelalaian_pengguna,motor,Penyelidikan,True
INC-00050,TAWURAN,2025-04-02,23:37,Polsek Setiabudi,Setiabudi,Karet Kuningan,JKS-027,-6.2178,106.829969,Pertokoan,kelompok_pemuda,kelompok_pemuda,Penyelidikan,True
INC-00051,CURANMOR,2024-04-01,19:00,Polsek Jagakarsa,Jagakarsa,Lenteng Agung,JKS-032,-6.310727,106.83785,Parkiran,lainnya,motor,Selesai,True
INC-00052,CURAT,2024-11-04,17:11,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.230676,106.836047,Parkiran,congkel,rumah,Selesai,True
INC-00053,CURANMOR,2023-03-16,00:37,Polsek Kebayoran Baru,Kebayoran Baru,Cipete Utara,JKS-004,-6.265067,106.801529,Permukiman,kelalaian_pengguna,motor,Selesai,True
INC-00054,CURAT,2023-09-06,22:41,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.257044,106.822933,Permukiman,rusak_kunci,toko,Penyidikan,True
INC-00055,CURANMOR,2023-07-24,11:46,Polsek Pancoran,Pancoran,Kalibata,JKS-019,-6.258322,106.856585,Parkiran,kelalaian_pengguna,mobil,Penyidikan,True
INC-00056,KEJAHATAN_JALANAN,2023-04-03,06:20,Polsek Tebet,Tebet,Tebet Barat,JKS-020,-6.235636,106.846049,Jalan,jambret,pengendara,Dilaporkan,True
INC-00057,CURANMOR,2023-08-21,02:25,Polsek Jagakarsa,Jagakarsa,Jagakarsa,JKS-030,-6.335122,106.819051,Pertokoan,kunci_t,mobil,Dilaporkan,True
INC-00058,CURANMOR,2023-12-16,00:35,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.274263,106.833909,Jalan,kelalaian_pengguna,motor,Penyelidikan,True
INC-00059,CURANMOR,2024-12-26,18:01,Polsek Mampang Prapatan,Mampang Prapatan,Bangka,JKS-025,-6.255978,106.812814,Pusat Aktivitas,duplikasi_kunci,motor,Penyidikan,True
INC-00060,CURAT,2025-03-16,22:36,Polsek Kebayoran Lama,Kebayoran Lama,Grogol Utara,JKS-008,-6.229688,106.778451,Pusat Aktivitas,rusak_kunci,toko,Penyidikan,True
INC-00061,KEJAHATAN_JALANAN,2024-06-20,20:02,Polsek Tebet,Tebet,Tebet Barat,JKS-020,-6.235358,106.849607,Permukiman,pemalakan,pengendara,Penyidikan,True
INC-00062,CURANMOR,2025-01-17,12:25,Polsek Cilandak,Cilandak,Gandaria Selatan,JKS-010,-6.287698,106.797714,Permukiman,duplikasi_kunci,motor,Selesai,True
INC-00063,CURANMOR,2024-10-23,17:29,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.275711,106.831963,Jalan,kelalaian_pengguna,motor,Dilaporkan,True
INC-00064,CURANMOR,2023-08-31,23:05,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.208532,106.849898,Pusat Aktivitas,duplikasi_kunci,mobil,Penyelidikan,True
INC-00065,CURAS,2024-05-18,20:10,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.232003,106.833652,Pertokoan,senjata_tajam,pengendara,Penyelidikan,True
INC-00066,CURAT,2024-12-24,14:00,Polsek Kebayoran Lama,Kebayoran Lama,Grogol Utara,JKS-008,-6.231829,106.780957,Permukiman,pecah_kaca,kantor,Penyidikan,True
INC-00067,CURANMOR,2023-09-16,02:22,Polsek Cilandak,Cilandak,Cilandak Barat,JKS-012,-6.29268,106.802276,Pertokoan,lainnya,motor,Dilaporkan,True
INC-00068,TAWURAN,2023-11-25,14:54,Polsek Tebet,Tebet,Tebet Barat,JKS-020,-6.235256,106.847191,Pusat Aktivitas,lainnya,kelompok_pemuda,Dilaporkan,True
INC-00069,KEJAHATAN_JALANAN,2024-01-11,13:00,Polsek Kebayoran Lama,Kebayoran Lama,Kebayoran Lama Utara,JKS-007,-6.251414,106.771896,Pusat Aktivitas,lainnya,pedagang,Selesai,True
INC-00070,TAWURAN,2023-09-27,06:18,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.229652,106.83549,Parkiran,kelompok_pelajar,kelompok_pemuda,Penyelidikan,True
INC-00071,CURAT,2023-10-23,18:37,Polsek Mampang Prapatan,Mampang Prapatan,Mampang Prapatan,JKS-024,-6.249792,106.821813,Permukiman,congkel,rumah,Penyelidikan,True
INC-00072,KEJAHATAN_JALANAN,2025-03-31,02:05,Polsek Tebet,Tebet,Tebet Timur,JKS-021,-6.228542,106.853943,Pertokoan,lainnya,pedagang,Selesai,True
INC-00073,KEJAHATAN_JALANAN,2024-04-22,03:32,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.253836,106.823865,Jalan,lainnya,pengendara,Selesai,True
INC-00074,KEJAHATAN_JALANAN,2024-05-31,21:30,Polsek Cilandak,Cilandak,Cilandak Barat,JKS-012,-6.291935,106.799364,Permukiman,pencurian_ringan,pejalan_kaki,Penyidikan,True
INC-00075,CURAT,2023-02-16,18:50,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.252953,106.82362,Permukiman,lainnya,kantor,Selesai,True
INC-00076,CURAT,2025-05-21,14:25,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.274783,106.836172,Permukiman,pecah_kaca,kantor,Selesai,True
INC-00077,KEJAHATAN_JALANAN,2023-12-22,00:41,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.255723,106.824562,Jalan,pencurian_ringan,pejalan_kaki,Dilaporkan,True
INC-00078,CURAT,2025-02-17,20:25,Polsek Kebayoran Baru,Kebayoran Baru,Cipete Utara,JKS-004,-6.263954,106.800629,Parkiran,congkel,rumah,Penyelidikan,True
INC-00079,CURANMOR,2023-11-09,14:24,Polsek Cilandak,Cilandak,Cilandak Barat,JKS-012,-6.292867,106.798658,Pusat Aktivitas,lainnya,motor,Dilaporkan,True
INC-00080,CURANMOR,2025-02-01,18:05,Polsek Kebayoran Lama,Kebayoran Lama,Pondok Pinang,JKS-006,-6.276862,106.768087,Parkiran,duplikasi_kunci,motor,Penyidikan,True
INC-00081,KEJAHATAN_JALANAN,2025-04-28,14:27,Polsek Kebayoran Baru,Kebayoran Baru,Pulo,JKS-005,-6.241608,106.809179,Parkiran,lainnya,pejalan_kaki,Penyelidikan,True
INC-00082,CURANMOR,2024-03-10,05:28,Polsek Jagakarsa,Jagakarsa,Jagakarsa,JKS-030,-6.33672,106.820758,Pusat Aktivitas,kelalaian_pengguna,mobil,Penyelidikan,True
INC-00083,CURAT,2025-10-06,17:29,Polsek Pasar Minggu,Pasar Minggu,Ragunan,JKS-015,-6.311413,106.820244,Jalan,congkel,kantor,Selesai,True
INC-00084,CURANMOR,2025-03-10,18:32,Polsek Jagakarsa,Jagakarsa,Jagakarsa,JKS-030,-6.333877,106.820526,Jalan,kelalaian_pengguna,motor,Penyelidikan,True
INC-00085,CURAT,2024-03-18,14:36,Polsek Tebet,Tebet,Tebet Barat,JKS-020,-6.234399,106.845736,Parkiran,rusak_kunci,kantor,Penyelidikan,True
INC-00086,TAWURAN,2025-03-24,18:20,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.277032,106.831919,Jalan,kelompok_pemuda,pengguna_jalan,Selesai,True
INC-00087,CURANMOR,2023-05-27,19:17,Polsek Setiabudi,Setiabudi,Menteng Atas,JKS-029,-6.21949,106.83802,Parkiran,kelalaian_pengguna,motor,Penyelidikan,True
INC-00088,CURANMOR,2023-09-18,12:52,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.254747,106.822884,Pertokoan,lainnya,motor,Selesai,True
INC-00089,KEJAHATAN_JALANAN,2024-09-23,04:49,Polsek Pasar Minggu,Pasar Minggu,Jati Padang,JKS-016,-6.282414,106.835807,Parkiran,pemalakan,pengendara,Selesai,True
INC-00090,CURANMOR,2023-01-04,20:36,Polsek Jagakarsa,Jagakarsa,Jagakarsa,JKS-030,-6.334765,106.817826,Parkiran,kunci_t,motor,Selesai,True
INC-00091,CURANMOR,2024-08-10,03:56,Polsek Kebayoran Baru,Kebayoran Baru,Senayan,JKS-001,-6.225906,106.7989,Parkiran,kunci_t,motor,Penyidikan,True
INC-00092,KEJAHATAN_JALANAN,2025-06-24,13:57,Polsek Pasar Minggu,Pasar Minggu,Pejaten Timur,JKS-014,-6.278226,106.847813,Fasilitas Publik,jambret,pedagang,Dilaporkan,True
INC-00093,CURANMOR,2025-03-04,15:35,Polsek Setiabudi,Setiabudi,Kuningan Timur,JKS-028,-6.231171,106.834264,Permukiman,duplikasi_kunci,motor,Selesai,True
INC-00094,CURANMOR,2025-01-27,08:46,Polsek Pasar Minggu,Pasar Minggu,Jati Padang,JKS-016,-6.284271,106.833177,Jalan,duplikasi_kunci,motor,Penyidikan,True
INC-00095,CURAS,2024-04-26,11:39,Polsek Pasar Minggu,Pasar Minggu,Jati Padang,JKS-016,-6.285042,106.837125,Pertokoan,senjata_tajam,pejalan_kaki,Penyelidikan,True
INC-00096,CURANMOR,2023-05-11,23:37,Polsek Kebayoran Baru,Kebayoran Baru,Senayan,JKS-001,-6.229115,106.801373,Jalan,kelalaian_pengguna,motor,Dilaporkan,True
INC-00097,CURAS,2023-11-26,01:15,Polsek Pancoran,Pancoran,Duren Tiga,JKS-018,-6.253544,106.831733,Pertokoan,perampasan_jalanan,pejalan_kaki,Selesai,True
INC-00098,KEJAHATAN_JALANAN,2024-12-10,19:58,Polsek Jagakarsa,Jagakarsa,Jagakarsa,JKS-030,-6.334018,106.819161,Jalan,jambret,pedagang,Penyelidikan,True
INC-00099,CURANMOR,2024-11-18,21:30,Polsek Pasar Minggu,Pasar Minggu,Pejaten Timur,JKS-014,-6.275966,106.849036,Parkiran,duplikasi_kunci,motor,Dilaporkan,True
INC-00100,CURAT,2025-09-21,02:36,Polsek Pasar Minggu,Pasar Minggu,Jati Padang,JKS-016,-6.288035,106.836558,Parkiran,pecah_kaca,kantor,Selesai,True
INC-00101,CURANMOR,2025-09-08,22:41,Polsek Tebet,Tebet,Tebet Timur,JKS-021,-6.230262,106.856195,Permukiman,duplikasi_kunci,mobil,Dilaporkan,True
INC-00102,CURANMOR,2025-11-28,01:52,Polsek Kebayoran Baru,Kebayoran Baru,Gunung,JKS-002,-6.233883,106.79222,Parkiran,kunci_t,mobil,Dilaporkan,True
INC-00103,CURAS,2023-12-06,01:13,Polsek Kebayoran Lama,Kebayoran Lama,Grogol Utara,JKS-008,-6.229057,106.779457,Pertokoan,ancaman,pejalan_kaki,Penyelidikan,True
INC-00104,KEJAHATAN_JALANAN,2025-08-06,13:23,Polsek Pasar Minggu,Pasar Minggu,Pejaten Timur,JKS-014,-6.276778,106.849962,Permukiman,pencurian_ringan,pedagang,Selesai,True
INC-00105,KEJAHATAN_JALANAN,2023-01-11,20:03,Polsek Jagakarsa,Jagakarsa,Srengseng Sawah,JKS-033,-6.343599,106.825945,Permukiman,pemalakan,pedagang,Dilaporkan,True
INC-00106,CURANMOR,2023-08-06,21:04,Polsek Jagakarsa,Jagakarsa,Lenteng Agung,JKS-032,-6.310295,106.835315,Pertokoan,lainnya,motor,Selesai,True
INC-00107,CURANMOR,2025-02-19,19:13,Polsek Pancoran,Pancoran,Duren Tiga,JKS-018,-6.25416,106.832351,Parkiran,kelalaian_pengguna,mobil,Penyidikan,True
INC-00108,TAWURAN,2025-07-09,10:24,Polsek Kebayoran Baru,Kebayoran Baru,Senayan,JKS-001,-6.228021,106.800126,Parkiran,konflik_spontan,kelompok_pemuda,Penyelidikan,True
INC-00109,CURANMOR,2025-07-02,20:04,Polsek Kebayoran Lama,Kebayoran Lama,Kebayoran Lama Utara,JKS-007,-6.251948,106.771237,Pusat Aktivitas,kelalaian_pengguna,mobil,Selesai,True
INC-00110,CURAT,2023-02-09,05:23,Polsek Cilandak,Cilandak,Cipete Selatan,JKS-009,-6.278291,106.81233,Pusat Aktivitas,pecah_kaca,rumah,Penyelidikan,True
INC-00111,CURAS,2024-07-10,19:37,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.208766,106.84981,Fasilitas Publik,ancaman,toko,Selesai,True
INC-00112,CURANMOR,2024-03-01,20:30,Polsek Cilandak,Cilandak,Cilandak Barat,JKS-012,-6.291973,106.803035,Jalan,kunci_t,mobil,Penyelidikan,True
INC-00113,CURANMOR,2023-01-17,00:44,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.275369,106.833263,Pertokoan,duplikasi_kunci,motor,Selesai,True
INC-00114,CURANMOR,2024-07-25,21:19,Polsek Mampang Prapatan,Mampang Prapatan,Bangka,JKS-025,-6.257536,106.814233,Parkiran,kunci_t,mobil,Dilaporkan,True
INC-00115,CURANMOR,2025-06-04,00:49,Polsek Tebet,Tebet,Tebet Timur,JKS-021,-6.227576,106.854112,Permukiman,lainnya,motor,Dilaporkan,True
INC-00116,CURANMOR,2025-11-22,21:57,Polsek Pancoran,Pancoran,Pancoran,JKS-017,-6.249186,106.838942,Jalan,kunci_t,motor,Penyidikan,True
INC-00117,CURAS,2025-03-07,01:13,Polsek Kebayoran Lama,Kebayoran Lama,Kebayoran Lama Utara,JKS-007,-6.252581,106.769574,Pusat Aktivitas,senjata_tajam,pejalan_kaki,Selesai,True
INC-00118,CURAS,2025-05-18,08:02,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.27634,106.831594,Pertokoan,senjata_tajam,pejalan_kaki,Penyelidikan,True
INC-00119,CURAS,2025-10-05,22:15,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.276459,106.833185,Jalan,ancaman,pejalan_kaki,Dilaporkan,True
INC-00120,TAWURAN,2025-11-16,17:43,Polsek Mampang Prapatan,Mampang Prapatan,Bangka,JKS-025,-6.255501,106.81459,Permukiman,kelompok_pemuda,pengguna_jalan,Dilaporkan,True
INC-00121,CURANMOR,2024-06-04,01:53,Polsek Pancoran,Pancoran,Pancoran,JKS-017,-6.248931,106.836939,Parkiran,lainnya,motor,Dilaporkan,True
INC-00122,CURAS,2023-10-01,23:37,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.273772,106.831688,Pusat Aktivitas,senjata_tajam,pejalan_kaki,Dilaporkan,True
INC-00123,CURAS,2023-08-02,01:45,Polsek Kebayoran Baru,Kebayoran Baru,Pulo,JKS-005,-6.240004,106.80761,Permukiman,lainnya,pejalan_kaki,Penyidikan,True
INC-00124,CURANMOR,2023-08-30,01:12,Polsek Pancoran,Pancoran,Duren Tiga,JKS-018,-6.255662,106.829671,Fasilitas Publik,duplikasi_kunci,mobil,Selesai,True
INC-00125,CURANMOR,2023-05-23,01:10,Polsek Kebayoran Baru,Kebayoran Baru,Pulo,JKS-005,-6.237958,106.81066,Permukiman,kunci_t,mobil,Selesai,True
INC-00126,TAWURAN,2023-04-21,21:03,Polsek Kebayoran Baru,Kebayoran Baru,Kramat Pela,JKS-003,-6.245378,106.793557,Permukiman,konflik_spontan,kelompok_pelajar,Dilaporkan,True
INC-00127,CURANMOR,2023-01-14,07:12,Polsek Kebayoran Baru,Kebayoran Baru,Gunung,JKS-002,-6.234158,106.792491,Parkiran,duplikasi_kunci,mobil,Selesai,True
INC-00128,CURAS,2023-11-05,18:17,Polsek Pancoran,Pancoran,Pancoran,JKS-017,-6.251573,106.840438,Permukiman,perampasan_jalanan,toko,Dilaporkan,True
INC-00129,CURAS,2025-01-24,00:32,Polsek Kebayoran Baru,Kebayoran Baru,Kramat Pela,JKS-003,-6.247404,106.793422,Fasilitas Publik,senjata_tajam,pejalan_kaki,Selesai,True
INC-00130,CURANMOR,2025-03-15,23:23,Polsek Pasar Minggu,Pasar Minggu,Pejaten Barat,JKS-013,-6.273857,106.836535,Permukiman,duplikasi_kunci,motor,Penyelidikan,True
INC-00131,CURAT,2024-07-31,06:41,Polsek Setiabudi,Setiabudi,Karet Kuningan,JKS-027,-6.219533,106.827141,Permukiman,congkel,kantor,Penyelidikan,True
INC-00132,CURAS,2025-03-04,04:43,Polsek Jagakarsa,Jagakarsa,Jagakarsa,JKS-030,-6.334723,106.81621,Parkiran,senjata_tajam,pejalan_kaki,Penyidikan,True
INC-00133,CURAT,2024-01-16,19:01,Polsek Pancoran,Pancoran,Duren Tiga,JKS-018,-6.253678,106.830144,Parkiran,lainnya,toko,Selesai,True
INC-00134,CURANMOR,2023-09-18,02:44,Polsek Mampang Prapatan,Mampang Prapatan,Tegal Parang,JKS-026,-6.25592,106.822088,Pusat Aktivitas,duplikasi_kunci,mobil,Penyelidikan,True
INC-00135,TAWURAN,2025-04-23,08:42,Polsek Pasar Minggu,Pasar Minggu,Pejaten Timur,JKS-014,-6.277556,106.847185,Permukiman,konflik_spontan,kelompok_pelajar,Penyidikan,True
INC-00136,TAWURAN,2023-11-01,16:14,Polsek Setiabudi,Setiabudi,Karet Kuningan,JKS-027,-6.216099,106.831769,Jalan,kelompok_pemuda,kelompok_pemuda,Dilaporkan,True
INC-00137,CURANMOR,2025-11-09,06:36,Polsek Tebet,Tebet,Menteng Dalam,JKS-022,-6.239228,106.835538,Permukiman,duplikasi_kunci,mobil,Dilaporkan,True
INC-00138,CURAT,2024-11-23,01:24,Polsek Tebet,Tebet,Manggarai,JKS-023,-6.2079,106.850416,Permukiman,pecah_kaca,kantor,Penyidikan,True
INC-00139,CURANMOR,2023-05-31,20:41,Polsek Cilandak,Cilandak,Lebak Bulus,JKS-011,-6.293879,106.774607,Jalan,kelalaian_pengguna,mobil,Dilaporkan,True
INC-00140,KEJAHATAN_JALANAN,2024-05-31,20:54,Polsek Cilandak,Cilandak,Cipete Selatan,JKS-009,-6.278819,106.811438,Permukiman,jambret,pengendara,Selesai,True
INC-00141,TAWURAN,2025-01-13,20:03,Polsek Kebayoran Baru,Kebayoran Baru,Cipete Utara,JKS-004,-6.268292,106.800802,Permukiman,kelompok_pelajar,kelompok_pelajar,Penyidikan,True
INC-00142,CURAS,2025-10-06,22:24,Polsek Cilandak,Cilandak,Lebak Bulus,JKS-011,-6.292614,106.774506,Permukiman,ancaman,toko,Selesai,True
