risk_score_id,assessment_date,grid_id,kecamatan,kelurahan,threat_type,time_window,risk_score,risk_class,historical_factor,recent_trend_factor,temporal_factor,spatial_factor,context_factor,model_version,window_start,window_end,weights_version
RS-00018,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,32,Low,37,19,46,21,39,dummy-v1,2025-10-29T06:00+07:00,2025-10-29T12:00+07:00,dummy-v1
RS-00019,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,57,Moderate,55,62,53,48,71,dummy-v1,2025-10-29T12:00+07:00,2025-10-29T18:00+07:00,dummy-v1
RS-00020,2025-10-29,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,34,Low,35,33,39,37,19,dummy-v1,2025-10-29T18:00+07:00,2025-10-30T00:00+07:00,dummy-v1
RS-00021,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,70,High,70,69,67,77,68,dummy-v1,2025-11-05T00:00+07:00,2025-11-05T06:00+07:00,dummy-v1
RS-00022,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,40,Low,42,35,35,50,43,dummy-v1,2025-11-05T06:00+07:00,2025-11-05T12:00+07:00,dummy-v1
RS-00023,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,69,Moderate,54,79,84,69,60,dummy-v1,2025-11-05T12:00+07:00,2025-11-05T18:00+07:00,dummy-v1
RS-00024,2025-11-05,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,35,Low,38,26,33,36,50,dummy-v1,2025-11-05T18:00+07:00,2025-11-06T00:00+07:00,dummy-v1
RS-00025,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,51,Moderate,48,61,48,48,45,dummy-v1,2025-11-12T00:00+07:00,2025-11-12T06:00+07:00,dummy-v1
RS-00026,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURANMOR,06:00-12:00,48,Moderate,58,47,35,51,42,dummy-v1,2025-11-12T06:00+07:00,2025-11-12T12:00+07:00,dummy-v1
RS-00027,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,73,High,61,77,75,82,81,dummy-v1,2025-11-12T12:00+07:00,2025-11-12T18:00+07:00,dummy-v1
RS-00028,2025-11-12,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,59,Moderate,54,68,53,60,61,dummy-v1,2025-11-12T18:00+07:00,2025-11-13T00:00+07:00,dummy-v1
RS-00029,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,68,Moderate,77,58,69,68,64,dummy-v1,2025-11-19T00:00+07:00,2025-11-19T06:00+07:00,dummy-v1
RS-00030,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,64,Moderate,63,52,79,74,53,dummy-v1,2025-11-19T06:00+07:00,2025-11-19T12:00+07:00,dummy-v1
RS-00031,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,55,Moderate,64,49,56,41,61,dummy-v1,2025-11-19T12:00+07:00,2025-11-19T18:00+07:00,dummy-v1
RS-00032,2025-11-19,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,58,Moderate,50,70,61,53,54,dummy-v1,2025-11-19T18:00+07:00,2025-11-20T00:00+07:00,dummy-v1
RS-00033,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,68,Moderate,73,59,69,69,72,dummy-v1,2025-11-26T00:00+07:00,2025-11-26T06:00+07:00,dummy-v1
RS-00034,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,67,Moderate,50,77,75,65,81,dummy-v1,2025-11-26T06:00+07:00,2025-11-26T12:00+07:00,dummy-v1
RS-00035,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,44,Low,22,52,50,59,56,dummy-v1,2025-11-26T12:00+07:00,2025-11-26T18:00+07:00,dummy-v1
RS-00036,2025-11-26,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,65,Moderate,65,68,60,58,78,dummy-v1,2025-11-26T18:00+07:00,2025-11-27T00:00+07:00,dummy-v1
RS-00037,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,00:00-06:00,45,Moderate,51,51,30,52,32,dummy-v1,2025-12-03T00:00+07:00,2025-12-03T06:00+07:00,dummy-v1
RS-00038,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,58,Moderate,56,55,72,52,53,dummy-v1,2025-12-03T06:00+07:00,2025-12-03T12:00+07:00,dummy-v1
RS-00039,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,12:00-18:00,37,Low,43,34,40,32,29,dummy-v1,2025-12-03T12:00+07:00,2025-12-03T18:00+07:00,dummy-v1
RS-00040,2025-12-03,JKS-001,Kebayoran Baru,Senayan,CURAT,18:00-23:59,75,High,64,76,84,90,66,dummy-v1,2025-12-03T18:00+07:00,2025-12-04T00:00+07:00,dummy-v1
RS-00041,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,58,Moderate,62,61,61,50,43,dummy-v1,2025-12-10T00:00+07:00,2025-12-10T06:00+07:00,dummy-v1
RS-00042,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURAT,06:00-12:00,47,Moderate,41,37,61,58,47,dummy-v1,2025-12-10T06:00+07:00,2025-12-10T12:00+07:00,dummy-v1
RS-00043,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURAS,12:00-18:00,73,High,63,85,69,74,80,dummy-v1,2025-12-10T12:00+07:00,2025-12-10T18:00+07:00,dummy-v1
RS-00044,2025-12-10,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,90,Critical,76,93,96,100,96,dummy-v1,2025-12-10T18:00+07:00,2025-12-11T00:00+07:00,dummy-v1
RS-00045,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,65,Moderate,71,58,58,68,74,dummy-v1,2025-12-17T00:00+07:00,2025-12-17T06:00+07:00,dummy-v1
RS-00046,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURAS,06:00-12:00,48,Moderate,47,47,48,56,42,dummy-v1,2025-12-17T06:00+07:00,2025-12-17T12:00+07:00,dummy-v1
RS-00047,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,74,High,83,68,65,81,71,dummy-v1,2025-12-17T12:00+07:00,2025-12-17T18:00+07:00,dummy-v1
RS-00048,2025-12-17,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,92,Critical,95,89,91,88,100,dummy-v1,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,dummy-v1
RS-00049,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURAS,00:00-06:00,74,High,76,63,85,77,68,dummy-v1,2025-12-24T00:00+07:00,2025-12-24T06:00+07:00,dummy-v1
RS-00050,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURANMOR,06:00-12:00,52,Moderate,66,46,51,44,38,dummy-v1,2025-12-24T06:00+07:00,2025-12-24T12:00+07:00,dummy-v1
RS-00051,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,54,Moderate,59,46,64,50,46,dummy-v1,2025-12-24T12:00+07:00,2025-12-24T18:00+07:00,dummy-v1
RS-00052,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,69,Moderate,67,73,80,56,62,dummy-v1,2025-12-24T18:00+07:00,2025-12-25T00:00+07:00,dummy-v1
RS-00053,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,43,Low,50,44,45,28,38,dummy-v1,2025-12-31T00:00+07:00,2025-12-31T06:00+07:00,dummy-v1
RS-00054,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURANMOR,06:00-12:00,46,Moderate,43,35,61,61,31,dummy-v1,2025-12-31T06:00+07:00,2025-12-31T12:00+07:00,dummy-v1
RS-00055,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,63,Moderate,60,53,72,70,68,dummy-v1,2025-12-31T12:00+07:00,2025-12-31T18:00+07:00,dummy-v1
RS-00056,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,54,Moderate,44,55,56,67,58,dummy-v1,2025-12-31T18:00+07:00,2026-01-01T00:00+07:00,dummy-v1
RS-00057,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,53,Moderate,52,64,50,40,54,dummy-v1,2025-10-01T00:00+07:00,2025-10-01T06:00+07:00,dummy-v1
RS-00058,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURAS,06:00-12:00,63,Moderate,72,57,61,63,56,dummy-v1,2025-10-01T06:00+07:00,2025-10-01T12:00+07:00,dummy-v1
RS-00059,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,53,Moderate,64,48,41,48,64,dummy-v1,2025-10-01T12:00+07:00,2025-10-01T18:00+07:00,dummy-v1
RS-00060,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,71,High,58,86,70,72,74,dummy-v1,2025-10-01T18:00+07:00,2025-10-02T00:00+07:00,dummy-v1
RS-00061,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,30,Low,10,39,36,39,41,dummy-v1,2025-10-08T00:00+07:00,2025-10-08T06:00+07:00,dummy-v1
RS-00062,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,36,Low,38,46,21,28,46,dummy-v1,2025-10-08T06:00+07:00,2025-10-08T12:00+07:00,dummy-v1
RS-00063,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,71,High,67,66,82,78,64,dummy-v1,2025-10-08T12:00+07:00,2025-10-08T18:00+07:00,dummy-v1
RS-00064,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,49,Moderate,47,56,36,55,53,dummy-v1,2025-10-08T18:00+07:00,2025-10-09T00:00+07:00,dummy-v1
RS-00065,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,25,Low,13,30,40,31,10,dummy-v1,2025-10-15T00:00+07:00,2025-10-15T06:00+07:00,dummy-v1
RS-00066,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,54,Moderate,51,58,52,46,68,dummy-v1,2025-10-15T06:00+07:00,2025-10-15T12:00+07:00,dummy-v1
RS-00067,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,40,Low,40,46,32,43,38,dummy-v1,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
RS-00068,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,36,Low,37,33,39,32,41,dummy-v1,2025-10-15T18:00+07:00,2025-10-16T00:00+07:00,dummy-v1
RS-00069,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,56,Moderate,51,61,63,44,63,dummy-v1,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
RS-00070,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,37,Low,36,34,40,45,28,dummy-v1,2025-10-22T06:00+07:00,2025-10-22T12:00+07:00,dummy-v1
RS-00071,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURAS,12:00-18:00,47,Moderate,36,57,48,49,50,dummy-v1,2025-10-22T12:00+07:00,2025-10-22T18:00+07:00,dummy-v1
RS-00072,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURAT,18:00-23:59,46,Moderate,36,54,48,49,48,dummy-v1,2025-10-22T18:00+07:00,2025-10-23T00:00+07:00,dummy-v1
RS-00073,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,69,Moderate,62,72,74,82,54,dummy-v1,2025-10-29T00:00+07:00,2025-10-29T06:00+07:00,dummy-v1
RS-00074,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURAS,06:00-12:00,61,Moderate,75,56,48,63,55,dummy-v1,2025-10-29T06:00+07:00,2025-10-29T12:00+07:00,dummy-v1
RS-00075,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,65,Moderate,77,58,51,65,73,dummy-v1,2025-10-29T12:00+07:00,2025-10-29T18:00+07:00,dummy-v1
RS-00076,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,86,Critical,82,75,90,97,100,dummy-v1,2025-10-29T18:00+07:00,2025-10-30T00:00+07:00,dummy-v1
RS-00077,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,31,Low,48,16,29,18,42,dummy-v1,2025-11-05T00:00+07:00,2025-11-05T06:00+07:00,dummy-v1
RS-00078,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,49,Moderate,51,52,41,57,39,dummy-v1,2025-11-05T06:00+07:00,2025-11-05T12:00+07:00,dummy-v1
RS-00079,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,30,Low,28,26,36,36,25,dummy-v1,2025-11-05T12:00+07:00,2025-11-05T18:00+07:00,dummy-v1
RS-00080,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURAT,18:00-23:59,53,Moderate,59,52,45,52,56,dummy-v1,2025-11-05T18:00+07:00,2025-11-06T00:00+07:00,dummy-v1
RS-00081,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,39,Low,38,42,41,29,44,dummy-v1,2025-11-12T00:00+07:00,2025-11-12T06:00+07:00,dummy-v1
RS-00082,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,72,High,61,81,65,79,87,dummy-v1,2025-11-12T06:00+07:00,2025-11-12T12:00+07:00,dummy-v1
RS-00083,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURAS,12:00-18:00,57,Moderate,66,46,58,55,60,dummy-v1,2025-11-12T12:00+07:00,2025-11-12T18:00+07:00,dummy-v1
RS-00084,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,88,Critical,79,96,95,88,82,dummy-v1,2025-11-12T18:00+07:00,2025-11-13T00:00+07:00,dummy-v1
RS-00085,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,42,Low,34,47,38,45,57,dummy-v1,2025-11-19T00:00+07:00,2025-11-19T06:00+07:00,dummy-v1
RS-00086,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,63,Moderate,77,48,56,60,76,dummy-v1,2025-11-19T06:00+07:00,2025-11-19T12:00+07:00,dummy-v1
RS-00087,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,33,Low,11,42,48,48,24,dummy-v1,2025-11-19T12:00+07:00,2025-11-19T18:00+07:00,dummy-v1
RS-00088,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,81,High,74,88,87,69,91,dummy-v1,2025-11-19T18:00+07:00,2025-11-20T00:00+07:00,dummy-v1
RS-00089,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,54,Moderate,52,57,60,53,43,dummy-v1,2025-11-26T00:00+07:00,2025-11-26T06:00+07:00,dummy-v1
RS-00090,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,46,Moderate,50,41,35,60,49,dummy-v1,2025-11-26T06:00+07:00,2025-11-26T12:00+07:00,dummy-v1
RS-00091,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,53,Moderate,62,55,41,46,56,dummy-v1,2025-11-26T12:00+07:00,2025-11-26T18:00+07:00,dummy-v1
RS-00092,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,65,Moderate,83,52,53,66,67,dummy-v1,2025-11-26T18:00+07:00,2025-11-27T00:00+07:00,dummy-v1
RS-00093,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,60,Moderate,69,53,56,62,56,dummy-v1,2025-12-03T00:00+07:00,2025-12-03T06:00+07:00,dummy-v1
RS-00094,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,28,Low,29,14,37,33,36,dummy-v1,2025-12-03T06:00+07:00,2025-12-03T12:00+07:00,dummy-v1
RS-00095,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURAT,12:00-18:00,31,Low,16,35,41,39,35,dummy-v1,2025-12-03T12:00+07:00,2025-12-03T18:00+07:00,dummy-v1
RS-00096,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,45,Moderate,57,35,41,51,32,dummy-v1,2025-12-03T18:00+07:00,2025-12-04T00:00+07:00,dummy-v1
RS-00097,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,38,Low,21,53,48,43,23,dummy-v1,2025-12-10T00:00+07:00,2025-12-10T06:00+07:00,dummy-v1
RS-00098,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURAS,06:00-12:00,72,High,77,68,72,65,78,dummy-v1,2025-12-10T06:00+07:00,2025-12-10T12:00+07:00,dummy-v1
RS-00099,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURAT,12:00-18:00,34,Low,34,33,39,35,24,dummy-v1,2025-12-10T12:00+07:00,2025-12-10T18:00+07:00,dummy-v1
RS-00100,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,48,Moderate,35,43,56,62,61,dummy-v1,2025-12-10T18:00+07:00,2025-12-11T00:00+07:00,dummy-v1
RS-00101,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,34,Low,34,28,49,26,30,dummy-v1,2025-12-17T00:00+07:00,2025-12-17T06:00+07:00,dummy-v1
RS-00102,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,63,Moderate,42,74,64,76,76,dummy-v1,2025-12-17T06:00+07:00,2025-12-17T12:00+07:00,dummy-v1
RS-00103,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURAT,12:00-18:00,27,Low,38,17,40,14,13,dummy-v1,2025-12-17T12:00+07:00,2025-12-17T18:00+07:00,dummy-v1
RS-00104,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURAT,18:00-23:59,91,Critical,86,91,95,99,87,dummy-v1,2025-12-17T18:00+07:00,2025-12-18T00:00+07:00,dummy-v1
RS-00105,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,37,Low,52,22,33,33,42,dummy-v1,2025-12-24T00:00+07:00,2025-12-24T06:00+07:00,dummy-v1
RS-00106,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,46,Moderate,35,43,61,55,42,dummy-v1,2025-12-24T06:00+07:00,2025-12-24T12:00+07:00,dummy-v1
RS-00107,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,32,Low,29,41,32,17,42,dummy-v1,2025-12-24T12:00+07:00,2025-12-24T18:00+07:00,dummy-v1
RS-00108,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,47,Moderate,62,46,41,37,33,dummy-v1,2025-12-24T18:00+07:00,2025-12-25T00:00+07:00,dummy-v1
RS-00109,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,51,Moderate,58,50,45,43,57,dummy-v1,2025-12-31T00:00+07:00,2025-12-31T06:00+07:00,dummy-v1
RS-00110,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,54,Moderate,40,56,67,61,54,dummy-v1,2025-12-31T06:00+07:00,2025-12-31T12:00+07:00,dummy-v1
RS-00111,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,58,Moderate,55,66,55,45,72,dummy-v1,2025-12-31T12:00+07:00,2025-12-31T18:00+07:00,dummy-v1
RS-00112,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,37,Low,29,43,45,41,24,dummy-v1,2025-12-31T18:00+07:00,2026-01-01T00:00+07:00,dummy-v1
RS-00113,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,38,Low,53,35,33,24,31,dummy-v1,2025-10-01T00:00+07:00,2025-10-01T06:00+07:00,dummy-v1
RS-00114,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,06:00-12:00,67,Moderate,43,80,77,76,73,dummy-v1,2025-10-01T06:00+07:00,2025-10-01T12:00+07:00,dummy-v1
RS-00115,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,51,Moderate,46,60,37,57,62,dummy-v1,2025-10-01T12:00+07:00,2025-10-01T18:00+07:00,dummy-v1
RS-00116,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,74,High,82,60,83,78,60,dummy-v1,2025-10-01T18:00+07:00,2025-10-02T00:00+07:00,dummy-v1
RS-00117,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,36,Low,35,51,28,21,40,dummy-v1,2025-10-08T00:00+07:00,2025-10-08T06:00+07:00,dummy-v1
RS-00118,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,34,Low,35,40,30,31,30,dummy-v1,2025-10-08T06:00+07:00,2025-10-08T12:00+07:00,dummy-v1
RS-00119,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,12:00-18:00,30,Low,23,34,25,41,35,dummy-v1,2025-10-08T12:00+07:00,2025-10-08T18:00+07:00,dummy-v1
RS-00120,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,18:00-23:59,70,High,64,69,65,82,83,dummy-v1,2025-10-08T18:00+07:00,2025-10-09T00:00+07:00,dummy-v1
RS-00121,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,54,Moderate,47,65,46,62,51,dummy-v1,2025-10-15T00:00+07:00,2025-10-15T06:00+07:00,dummy-v1
RS-00122,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,06:00-12:00,26,Low,9,34,31,33,36,dummy-v1,2025-10-15T06:00+07:00,2025-10-15T12:00+07:00,dummy-v1
RS-00123,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,59,Moderate,46,69,63,73,44,dummy-v1,2025-10-15T12:00+07:00,2025-10-15T18:00+07:00,dummy-v1
RS-00124,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,18:00-23:59,77,High,79,73,87,75,64,dummy-v1,2025-10-15T18:00+07:00,2025-10-16T00:00+07:00,dummy-v1
RS-00125,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,00:00-06:00,48,Moderate,38,49,52,54,59,dummy-v1,2025-10-22T00:00+07:00,2025-10-22T06:00+07:00,dummy-v1
RS-00126,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,72,High,80,85,59,59,60,dummy-v1,2025-10-22T06:00+07:00,2025-10-22T12:00+07:00,dummy-v1
RS-00127,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,12:00-18:00,68,Moderate,72,76,67,56,56,dummy-v1,2025-10-22T12:00+07:00,2025-10-22T18:00+07:00,dummy-v1
