risk_score_id,assessment_date,grid_id,kecamatan,kelurahan,threat_type,time_window,risk_score,risk_class,historical_factor,recent_trend_factor,temporal_factor,spatial_factor,context_factor,model_version,is_synthetic
RS-00051,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,54,Moderate,16,21,9,10,10,dummy-v1,True
RS-00052,2025-12-24,JKS-001,Kebayoran Baru,Senayan,CURANMOR,18:00-23:59,69,Moderate,21,18,13,13,3,dummy-v1,True
RS-00053,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURANMOR,00:00-06:00,43,Low,22,10,5,13,10,dummy-v1,True
RS-00054,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURANMOR,06:00-12:00,46,Moderate,12,21,6,20,5,dummy-v1,True
RS-00055,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURANMOR,12:00-18:00,63,Moderate,30,19,8,10,4,dummy-v1,True
RS-00056,2025-12-31,JKS-001,Kebayoran Baru,Senayan,CURAS,18:00-23:59,54,Moderate,22,24,5,6,5,dummy-v1,True
RS-00057,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,53,Moderate,20,22,17,9,3,dummy-v1,True
RS-00058,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURAS,06:00-12:00,63,Moderate,16,6,15,5,4,dummy-v1,True
RS-00059,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,53,Moderate,21,17,11,16,0,dummy-v1,True
RS-00060,2025-10-01,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,71,High,28,24,12,18,1,dummy-v1,True
RS-00061,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,30,Low,18,25,19,7,5,dummy-v1,True
RS-00062,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,36,Low,25,10,8,16,10,dummy-v1,True
RS-00063,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,71,High,30,14,18,17,2,dummy-v1,True
RS-00064,2025-10-08,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,49,Moderate,30,20,14,13,1,dummy-v1,True
RS-00065,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,25,Low,16,14,16,15,8,dummy-v1,True
RS-00066,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,54,Moderate,13,24,16,17,7,dummy-v1,True
RS-00067,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,40,Low,26,19,12,19,1,dummy-v1,True
RS-00068,2025-10-15,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,36,Low,28,11,13,6,6,dummy-v1,True
RS-00069,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,56,Moderate,23,19,16,8,3,dummy-v1,True
RS-00070,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,37,Low,18,16,14,13,4,dummy-v1,True
RS-00071,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURAS,12:00-18:00,47,Moderate,21,20,19,11,7,dummy-v1,True
RS-00072,2025-10-22,JKS-002,Kebayoran Baru,Gunung,CURAT,18:00-23:59,46,Moderate,28,11,18,15,10,dummy-v1,True
RS-00073,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,69,Moderate,27,11,8,20,6,dummy-v1,True
RS-00074,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURAS,06:00-12:00,61,Moderate,15,6,16,11,4,dummy-v1,True
RS-00075,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,65,Moderate,26,21,19,6,7,dummy-v1,True
RS-00076,2025-10-29,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,86,Critical,21,21,16,11,7,dummy-v1,True
RS-00077,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,31,Low,30,14,20,15,1,dummy-v1,True
RS-00078,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,49,Moderate,27,9,18,19,7,dummy-v1,True
RS-00079,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,30,Low,15,25,5,12,2,dummy-v1,True
RS-00080,2025-11-05,JKS-002,Kebayoran Baru,Gunung,CURAT,18:00-23:59,53,Moderate,20,6,18,19,0,dummy-v1,True
RS-00081,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,39,Low,27,22,5,5,3,dummy-v1,True
RS-00082,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,72,High,15,20,8,10,9,dummy-v1,True
RS-00083,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURAS,12:00-18:00,57,Moderate,20,5,12,18,4,dummy-v1,True
RS-00084,2025-11-12,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,88,Critical,18,12,7,5,2,dummy-v1,True
RS-00085,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURAT,00:00-06:00,42,Low,13,6,12,9,0,dummy-v1,True
RS-00086,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,63,Moderate,25,5,17,16,2,dummy-v1,True
RS-00087,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,33,Low,16,19,16,8,5,dummy-v1,True
RS-00088,2025-11-19,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,81,High,11,9,12,7,4,dummy-v1,True
RS-00089,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,54,Moderate,25,10,10,5,1,dummy-v1,True
RS-00090,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,46,Moderate,21,22,9,20,8,dummy-v1,True
RS-00091,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,53,Moderate,30,16,20,18,10,dummy-v1,True
RS-00092,2025-11-26,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,65,Moderate,19,20,7,14,9,dummy-v1,True
RS-00093,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,60,Moderate,30,12,15,18,5,dummy-v1,True
RS-00094,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,28,Low,14,22,10,13,2,dummy-v1,True
RS-00095,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURAT,12:00-18:00,31,Low,21,7,5,7,10,dummy-v1,True
RS-00096,2025-12-03,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,45,Moderate,10,16,12,7,2,dummy-v1,True
RS-00097,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,38,Low,28,11,14,12,10,dummy-v1,True
RS-00098,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURAS,06:00-12:00,72,High,28,9,5,13,7,dummy-v1,True
RS-00099,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURAT,12:00-18:00,34,Low,19,5,17,17,3,dummy-v1,True
RS-00100,2025-12-10,JKS-002,Kebayoran Baru,Gunung,CURAS,18:00-23:59,48,Moderate,21,10,20,16,8,dummy-v1,True
RS-00101,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURANMOR,00:00-06:00,34,Low,28,16,12,8,9,dummy-v1,True
RS-00102,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,63,Moderate,14,15,5,16,7,dummy-v1,True
RS-00103,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURAT,12:00-18:00,27,Low,28,6,18,14,0,dummy-v1,True
RS-00104,2025-12-17,JKS-002,Kebayoran Baru,Gunung,CURAT,18:00-23:59,91,Critical,11,15,19,9,0,dummy-v1,True
RS-00105,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,37,Low,11,25,6,14,0,dummy-v1,True
RS-00106,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURAT,06:00-12:00,46,Moderate,28,17,12,13,2,dummy-v1,True
RS-00107,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,32,Low,21,5,9,14,9,dummy-v1,True
RS-00108,2025-12-24,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,47,Moderate,18,17,11,19,3,dummy-v1,True
RS-00109,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURAS,00:00-06:00,51,Moderate,24,14,11,10,2,dummy-v1,True
RS-00110,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURANMOR,06:00-12:00,54,Moderate,24,10,15,6,9,dummy-v1,True
RS-00111,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURANMOR,12:00-18:00,58,Moderate,20,9,14,10,2,dummy-v1,True
RS-00112,2025-12-31,JKS-002,Kebayoran Baru,Gunung,CURANMOR,18:00-23:59,37,Low,28,9,11,16,6,dummy-v1,True
RS-00113,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,38,Low,18,19,11,15,3,dummy-v1,True
RS-00114,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,06:00-12:00,67,Moderate,18,10,19,5,8,dummy-v1,True
RS-00115,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,51,Moderate,15,10,20,8,3,dummy-v1,True
RS-00116,2025-10-01,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,74,High,25,25,20,17,8,dummy-v1,True
RS-00117,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,36,Low,18,11,18,8,3,dummy-v1,True
RS-00118,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,34,Low,16,23,7,9,10,dummy-v1,True
RS-00119,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,12:00-18:00,30,Low,17,9,16,14,1,dummy-v1,True
RS-00120,2025-10-08,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,18:00-23:59,70,High,11,19,8,14,4,dummy-v1,True
RS-00121,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,54,Moderate,15,18,9,12,9,dummy-v1,True
RS-00122,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,06:00-12:00,26,Low,22,6,18,11,8,dummy-v1,True
RS-00123,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,59,Moderate,12,16,10,7,0,dummy-v1,True
RS-00124,2025-10-15,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,18:00-23:59,77,High,26,20,9,12,7,dummy-v1,True
RS-00125,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,00:00-06:00,48,Moderate,17,24,19,12,2,dummy-v1,True
RS-00126,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,72,High,10,12,12,13,5,dummy-v1,True
RS-00127,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,12:00-18:00,68,Moderate,26,12,14,20,3,dummy-v1,True
RS-00128,2025-10-22,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,18:00-23:59,53,Moderate,16,18,14,19,3,dummy-v1,True
RS-00129,2025-10-29,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,41,Low,23,19,13,13,10,dummy-v1,True
RS-00130,2025-10-29,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,67,Moderate,25,24,6,14,2,dummy-v1,True
RS-00131,2025-10-29,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,12:00-18:00,74,High,10,8,11,11,9,dummy-v1,True
RS-00132,2025-10-29,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,18:00-23:59,41,Low,17,21,19,17,7,dummy-v1,True
RS-00133,2025-11-05,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,00:00-06:00,29,Low,24,8,11,18,4,dummy-v1,True
RS-00134,2025-11-05,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,51,Moderate,29,22,12,16,1,dummy-v1,True
RS-00135,2025-11-05,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,12:00-18:00,54,Moderate,15,11,11,17,0,dummy-v1,True
RS-00136,2025-11-05,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,77,High,22,24,16,12,2,dummy-v1,True
RS-00137,2025-11-12,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,00:00-06:00,73,High,25,19,15,16,5,dummy-v1,True
RS-00138,2025-11-12,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,49,Moderate,18,18,18,11,10,dummy-v1,True
RS-00139,2025-11-12,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,34,Low,28,6,5,17,1,dummy-v1,True
RS-00140,2025-11-12,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,45,Moderate,13,15,14,14,0,dummy-v1,True
RS-00141,2025-11-19,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,00:00-06:00,48,Moderate,19,20,8,7,8,dummy-v1,True
RS-00142,2025-11-19,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,06:00-12:00,30,Low,23,14,6,17,8,dummy-v1,True
RS-00143,2025-11-19,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,51,Moderate,28,8,7,10,8,dummy-v1,True
RS-00144,2025-11-19,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,18:00-23:59,47,Moderate,19,10,20,5,10,dummy-v1,True
RS-00145,2025-11-26,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,00:00-06:00,44,Low,13,14,9,18,8,dummy-v1,True
RS-00146,2025-11-26,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,06:00-12:00,41,Low,23,24,11,17,1,dummy-v1,True
RS-00147,2025-11-26,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,65,Moderate,13,16,18,19,3,dummy-v1,True
RS-00148,2025-11-26,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,18:00-23:59,38,Low,11,13,16,13,0,dummy-v1,True
RS-00149,2025-12-03,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,00:00-06:00,60,Moderate,19,6,10,14,2,dummy-v1,True
RS-00150,2025-12-03,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,65,Moderate,28,13,7,10,5,dummy-v1,True
RS-00151,2025-12-03,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,12:00-18:00,73,High,22,11,13,13,8,dummy-v1,True
RS-00152,2025-12-03,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,79,High,29,17,12,9,6,dummy-v1,True
RS-00153,2025-12-10,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,00:00-06:00,65,Moderate,10,13,17,17,3,dummy-v1,True
RS-00154,2025-12-10,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,56,Moderate,29,8,17,20,3,dummy-v1,True
RS-00155,2025-12-10,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,12:00-18:00,74,High,18,5,11,7,3,dummy-v1,True
RS-00156,2025-12-10,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,64,Moderate,23,17,5,19,8,dummy-v1,True
RS-00157,2025-12-17,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,00:00-06:00,44,Low,25,24,11,9,0,dummy-v1,True
RS-00158,2025-12-17,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,71,High,28,10,10,20,0,dummy-v1,True
RS-00159,2025-12-17,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,12:00-18:00,54,Moderate,25,22,17,16,1,dummy-v1,True
RS-00160,2025-12-17,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,18:00-23:59,66,Moderate,29,15,6,15,7,dummy-v1,True
RS-00161,2025-12-24,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,00:00-06:00,51,Moderate,12,25,5,5,5,dummy-v1,True
RS-00162,2025-12-24,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,06:00-12:00,28,Low,22,16,13,18,7,dummy-v1,True
RS-00163,2025-12-24,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,12:00-18:00,50,Moderate,16,25,11,11,9,dummy-v1,True
RS-00164,2025-12-24,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,18:00-23:59,53,Moderate,29,23,13,13,1,dummy-v1,True
RS-00165,2025-12-31,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,00:00-06:00,56,Moderate,25,7,9,20,1,dummy-v1,True
RS-00166,2025-12-31,JKS-003,Kebayoran Baru,Kramat Pela,CURAS,06:00-12:00,71,High,28,22,10,15,2,dummy-v1,True
RS-00167,2025-12-31,JKS-003,Kebayoran Baru,Kramat Pela,CURAT,12:00-18:00,60,Moderate,21,25,8,17,3,dummy-v1,True
RS-00168,2025-12-31,JKS-003,Kebayoran Baru,Kramat Pela,CURANMOR,18:00-23:59,42,Low,25,8,16,12,4,dummy-v1,True
RS-00169,2025-10-01,JKS-004,Kebayoran Baru,Cipete Utara,CURAT,00:00-06:00,56,Moderate,23,19,18,15,9,dummy-v1,True
RS-00170,2025-10-01,JKS-004,Kebayoran Baru,Cipete Utara,CURAT,06:00-12:00,34,Low,25,25,8,14,8,dummy-v1,True
RS-00171,2025-10-01,JKS-004,Kebayoran Baru,Cipete Utara,CURAT,12:00-18:00,66,Moderate,14,14,20,19,10,dummy-v1,True
RS-00172,2025-10-01,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,18:00-23:59,81,High,21,17,5,13,7,dummy-v1,True
RS-00173,2025-10-08,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,00:00-06:00,52,Moderate,25,25,7,9,4,dummy-v1,True
RS-00174,2025-10-08,JKS-004,Kebayoran Baru,Cipete Utara,CURAT,06:00-12:00,69,Moderate,30,20,13,18,10,dummy-v1,True
RS-00175,2025-10-08,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,12:00-18:00,74,High,29,6,13,10,8,dummy-v1,True
RS-00176,2025-10-08,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,18:00-23:59,57,Moderate,22,9,20,10,6,dummy-v1,True
RS-00177,2025-10-15,JKS-004,Kebayoran Baru,Cipete Utara,CURANMOR,00:00-06:00,61,Moderate,27,12,5,19,9,dummy-v1,True
RS-00178,2025-10-15,JKS-004,Kebayoran Baru,Cipete Utara,CURAT,06:00-12:00,35,Low,20,7,12,12,8,dummy-v1,True
RS-00179,2025-10-15,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,12:00-18:00,45,Moderate,19,23,18,6,6,dummy-v1,True
RS-00180,2025-10-15,JKS-004,Kebayoran Baru,Cipete Utara,CURANMOR,18:00-23:59,57,Moderate,29,18,15,14,7,dummy-v1,True
RS-00181,2025-10-22,JKS-004,Kebayoran Baru,Cipete Utara,CURANMOR,00:00-06:00,70,High,25,10,6,20,2,dummy-v1,True
RS-00182,2025-10-22,JKS-004,Kebayoran Baru,Cipete Utara,CURANMOR,06:00-12:00,40,Low,21,10,13,6,4,dummy-v1,True
RS-00183,2025-10-22,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,12:00-18:00,47,Moderate,21,15,11,8,2,dummy-v1,True
RS-00184,2025-10-22,JKS-004,Kebayoran Baru,Cipete Utara,CURANMOR,18:00-23:59,65,Moderate,27,9,16,14,4,dummy-v1,True
RS-00185,2025-10-29,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,00:00-06:00,41,Low,13,16,6,12,3,dummy-v1,True
RS-00186,2025-10-29,JKS-004,Kebayoran Baru,Cipete Utara,CURAS,06:00-12:00,73,High,22,7,7,11,1,dummy-v1,True
