decision_id,recommendation_id,decision,decision_by,decision_at,reason
DEC-0039,REC-0039,Approved,USER-DEMO-PIMPINAN,2025-12-08 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0042,REC-0042,Modified,USER-DEMO-PIMPINAN,2025-10-17 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0043,REC-0043,Approved,USER-DEMO-PIMPINAN,2025-12-29 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0044,REC-0044,Modified,USER-DEMO-PIMPINAN,2025-12-12 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0045,REC-0045,Approved,USER-DEMO-PIMPINAN,2025-10-19 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0046,REC-0046,Rejected,USER-DEMO-PIMPINAN,2025-12-28 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0047,REC-0047,Approved,USER-DEMO-PIMPINAN,2025-10-18 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0048,REC-0048,Approved,USER-DEMO-PIMPINAN,2025-11-18 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0049,REC-0049,Approved,USER-DEMO-PIMPINAN,2025-12-19 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0050,REC-0050,Modified,USER-DEMO-PIMPINAN,2025-11-04 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0051,REC-0051,Approved,USER-DEMO-PIMPINAN,2025-11-26 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0053,REC-0053,Approved,USER-DEMO-PIMPINAN,2025-12-16 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0054,REC-0054,Modified,USER-DEMO-PIMPINAN,2025-10-16 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0055,REC-0055,Rejected,USER-DEMO-PIMPINAN,2025-12-24 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0056,REC-0056,Modified,USER-DEMO-PIMPINAN,2025-11-12 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0057,REC-0057,Approved,USER-DEMO-PIMPINAN,2025-11-08 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0059,REC-0059,Approved,USER-DEMO-PIMPINAN,2025-11-22 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0060,REC-0060,Approved,USER-DEMO-PIMPINAN,2025-11-13 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0061,REC-0061,Approved,USER-DEMO-PIMPINAN,2025-10-18 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0063,REC-0063,Modified,USER-DEMO-PIMPINAN,2025-11-12 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0064,REC-0064,Approved,USER-DEMO-PIMPINAN,2025-12-11 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0065,REC-0065,Modified,USER-DEMO-PIMPINAN,2025-12-29 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0066,REC-0066,Approved,USER-DEMO-PIMPINAN,2025-11-27 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0069,REC-0069,Approved,USER-DEMO-PIMPINAN,2025-12-21 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0070,REC-0070,Modified,USER-DEMO-PIMPINAN,2025-12-28 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0071,REC-0071,Approved,USER-DEMO-PIMPINAN,2025-12-29 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0072,REC-0072,Approved,USER-DEMO-PIMPINAN,2025-11-20 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0074,REC-0074,Approved,USER-DEMO-PIMPINAN,2025-12-04 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0075,REC-0075,Modified,USER-DEMO-PIMPINAN,2025-10-08 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0076,REC-0076,Rejected,USER-DEMO-PIMPINAN,2025-12-03 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0077,REC-0077,Approved,USER-DEMO-PIMPINAN,2025-10-26 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0078,REC-0078,Approved,USER-DEMO-PIMPINAN,2025-10-17 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0079,REC-0079,Modified,USER-DEMO-PIMPINAN,2025-12-05 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0080,REC-0080,Approved,USER-DEMO-PIMPINAN,2025-10-29 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0081,REC-0081,Approved,USER-DEMO-PIMPINAN,2025-10-09 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0082,REC-0082,Approved,USER-DEMO-PIMPINAN,2025-11-15 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
DEC-0084,REC-0084,Approved,USER-DEMO-PIMPINAN,2025-11-17 16:00,Keputusan sintetis untuk pengujian workflow human-in-the-loop.
