report_id,reported_at,incident_time,category,description,latitude,longitude,location_text,urgency_score,verification_score,status,is_synthetic
RPT-0032,2025-07-07T11:08,2025-07-07T10:08,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.311202,106.818663,Sekitar Ragunan (data sintetis),48,56,Diterima,True
RPT-0033,2025-11-23T22:24,2025-11-23T22:24,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.286687,106.7968,Sekitar Gandaria Selatan (data sintetis),97,67,Diterima,True
RPT-0034,2025-12-27T13:03,2025-12-27T09:03,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.24778,106.819519,Sekitar Mampang Prapatan (data sintetis),58,35,Selesai,True
RPT-0035,2025-04-16T06:04,2025-04-16T04:04,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.216559,106.826482,Sekitar Karet Kuningan (data sintetis),48,77,Diterima,True
RPT-0036,2025-03-18T16:50,2025-03-18T12:50,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.21935,106.837823,Sekitar Menteng Atas (data sintetis),82,35,Diterima,True
RPT-0037,2025-03-13T09:14,2025-03-13T03:14,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.249196,106.840084,Sekitar Pancoran (data sintetis),80,91,Diteruskan,True
RPT-0038,2025-06-20T05:16,2025-06-20T02:16,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.256285,106.855593,Sekitar Kalibata (data sintetis),23,44,Diterima,True
RPT-0039,2025-06-24T20:56,2025-06-24T17:56,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.255565,106.823629,Sekitar Tegal Parang (data sintetis),35,35,Selesai,True
RPT-0040,2025-08-01T23:33,2025-08-01T21:33,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.20976,106.851348,Sekitar Manggarai (data sintetis),70,66,Ditangani,True
RPT-0041,2025-11-14T23:06,2025-11-14T20:06,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.247174,106.791684,Sekitar Kramat Pela (data sintetis),74,79,Diterima,True
RPT-0042,2025-11-18T21:15,2025-11-18T16:15,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.246853,106.793019,Sekitar Kramat Pela (data sintetis),73,37,Diteruskan,True
RPT-0043,2025-05-22T13:41,2025-05-22T07:41,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.230832,106.781783,Sekitar Grogol Utara (data sintetis),59,85,Diteruskan,True
RPT-0044,2025-02-08T09:22,2025-02-08T02:22,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.229827,106.854876,Sekitar Tebet Timur (data sintetis),83,53,Selesai,True
RPT-0045,2025-05-29T06:42,2025-05-29T06:42,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.208144,106.849525,Sekitar Manggarai (data sintetis),88,41,Diterima,True
RPT-0046,2025-02-08T14:54,2025-02-08T13:54,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.266448,106.800061,Sekitar Cipete Utara (data sintetis),25,54,Selesai,True
RPT-0047,2025-12-13T09:36,2025-12-13T03:36,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.248474,106.793636,Sekitar Kramat Pela (data sintetis),30,69,Diterima,True
RPT-0048,2025-04-17T08:47,2025-04-17T07:47,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.285102,106.797939,Sekitar Gandaria Selatan (data sintetis),51,86,Diterima,True
RPT-0049,2025-05-23T10:17,2025-05-23T07:17,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.254773,106.82191,Sekitar Tegal Parang (data sintetis),53,64,Ditangani,True
RPT-0050,2025-09-02T01:45,2025-09-01T22:45,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.238171,106.834599,Sekitar Menteng Dalam (data sintetis),36,75,Diverifikasi,True
RPT-0051,2025-09-27T14:08,2025-09-27T11:08,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.218443,106.829239,Sekitar Karet Kuningan (data sintetis),37,47,Ditangani,True
RPT-0052,2025-07-25T04:08,2025-07-25T04:08,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.335879,106.818865,Sekitar Jagakarsa (data sintetis),63,92,Selesai,True
RPT-0053,2025-08-21T15:41,2025-08-21T09:41,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.241351,106.808162,Sekitar Pulo (data sintetis),96,40,Selesai,True
RPT-0054,2025-03-16T10:44,2025-03-16T09:44,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.246225,106.821545,Sekitar Mampang Prapatan (data sintetis),48,53,Diverifikasi,True
RPT-0055,2025-01-11T03:25,2025-01-10T22:25,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.217786,106.840302,Sekitar Menteng Atas (data sintetis),51,41,Selesai,True
RPT-0056,2025-04-03T05:36,2025-04-03T05:36,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.236372,106.847145,Sekitar Tebet Barat (data sintetis),56,48,Diteruskan,True
RPT-0057,2025-10-25T19:40,2025-10-25T18:40,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.253293,106.832109,Sekitar Duren Tiga (data sintetis),44,75,Diverifikasi,True
RPT-0058,2025-12-23T03:02,2025-12-23T02:02,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.230629,106.778218,Sekitar Grogol Utara (data sintetis),90,64,Selesai,True
RPT-0059,2025-07-05T05:19,2025-07-04T23:19,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.251713,106.768575,Sekitar Kebayoran Lama Utara (data sintetis),98,80,Selesai,True
RPT-0060,2025-02-01T19:52,2025-02-01T14:52,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.24996,106.837477,Sekitar Pancoran (data sintetis),20,73,Diverifikasi,True
RPT-0061,2025-06-26T10:21,2025-06-26T06:21,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.246562,106.818465,Sekitar Mampang Prapatan (data sintetis),67,46,Ditangani,True
RPT-0062,2025-04-29T23:58,2025-04-29T17:58,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.276758,106.849277,Sekitar Pejaten Timur (data sintetis),51,51,Diterima,True
RPT-0063,2025-11-19T15:21,2025-11-19T08:21,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.279721,106.811856,Sekitar Cipete Selatan (data sintetis),44,94,Selesai,True
RPT-0064,2025-04-27T03:14,2025-04-26T21:14,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.293845,106.774151,Sekitar Lebak Bulus (data sintetis),52,59,Ditangani,True
RPT-0065,2025-03-31T04:25,2025-03-31T01:25,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.25186,106.770243,Sekitar Kebayoran Lama Utara (data sintetis),35,94,Diverifikasi,True
RPT-0066,2025-01-15T09:25,2025-01-15T02:25,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.238535,106.79485,Sekitar Gunung (data sintetis),88,58,Ditangani,True
RPT-0067,2025-09-04T03:26,2025-09-04T02:26,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.286737,106.835409,Sekitar Jati Padang (data sintetis),68,82,Selesai,True
RPT-0068,2025-07-17T19:43,2025-07-17T12:43,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.238583,106.792515,Sekitar Gunung (data sintetis),80,38,Diverifikasi,True
RPT-0069,2025-12-07T12:07,2025-12-07T08:07,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.284852,106.832469,Sekitar Jati Padang (data sintetis),24,42,Selesai,True
RPT-0070,2025-08-29T08:53,2025-08-29T08:53,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.248741,106.83753,Sekitar Pancoran (data sintetis),82,35,Diverifikasi,True
RPT-0071,2025-04-15T17:59,2025-04-15T14:59,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.237018,106.79294,Sekitar Gunung (data sintetis),45,38,Diverifikasi,True
RPT-0072,2025-03-22T14:41,2025-03-22T11:41,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.247698,106.818861,Sekitar Mampang Prapatan (data sintetis),80,71,Ditangani,True
RPT-0073,2025-03-25T18:40,2025-03-25T11:40,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.230137,106.856281,Sekitar Tebet Timur (data sintetis),43,71,Selesai,True
RPT-0074,2025-09-25T18:41,2025-09-25T11:41,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.285319,106.797544,Sekitar Gandaria Selatan (data sintetis),22,95,Ditangani,True
RPT-0075,2025-05-26T22:54,2025-05-26T22:54,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.256463,106.823244,Sekitar Tegal Parang (data sintetis),94,76,Selesai,True
RPT-0076,2025-06-16T10:48,2025-06-16T04:48,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.31005,106.820867,Sekitar Ragunan (data sintetis),98,95,Diteruskan,True
RPT-0077,2025-09-27T23:36,2025-09-27T23:36,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.332714,106.795099,Sekitar Ciganjur (data sintetis),85,73,Ditangani,True
RPT-0078,2025-03-01T10:00,2025-03-01T04:00,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.236295,106.791299,Sekitar Gunung (data sintetis),54,65,Selesai,True
RPT-0079,2025-09-07T17:15,2025-09-07T10:15,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.246682,106.837787,Sekitar Pancoran (data sintetis),43,81,Diverifikasi,True
RPT-0080,2025-09-14T03:40,2025-09-14T01:40,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.229837,106.780791,Sekitar Grogol Utara (data sintetis),48,59,Diteruskan,True
RPT-0081,2025-02-24T03:50,2025-02-24T02:50,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.268143,106.799222,Sekitar Cipete Utara (data sintetis),94,47,Selesai,True
RPT-0082,2025-01-24T16:36,2025-01-24T12:36,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.275371,106.848812,Sekitar Pejaten Timur (data sintetis),63,50,Diteruskan,True
RPT-0083,2025-03-08T17:47,2025-03-08T15:47,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.285987,106.834764,Sekitar Jati Padang (data sintetis),59,95,Diteruskan,True
RPT-0084,2025-11-06T09:26,2025-11-06T07:26,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.278134,106.810933,Sekitar Cipete Selatan (data sintetis),98,55,Diteruskan,True
RPT-0085,2025-05-01T02:36,2025-04-30T23:36,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.343402,106.824116,Sekitar Srengseng Sawah (data sintetis),28,95,Diverifikasi,True
RPT-0086,2025-12-31T17:23,2025-12-31T11:23,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.312642,106.836501,Sekitar Lenteng Agung (data sintetis),20,50,Selesai,True
RPT-0087,2025-02-13T14:27,2025-02-13T09:27,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.288968,106.802676,Sekitar Cilandak Barat (data sintetis),99,83,Diteruskan,True
RPT-0088,2025-03-07T11:25,2025-03-07T10:25,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.31011,106.819975,Sekitar Ragunan (data sintetis),38,56,Selesai,True
RPT-0089,2025-08-13T06:42,2025-08-13T00:42,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.237493,106.794684,Sekitar Gunung (data sintetis),96,73,Diverifikasi,True
RPT-0090,2025-02-01T13:36,2025-02-01T08:36,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.253253,106.770818,Sekitar Kebayoran Lama Utara (data sintetis),79,91,Selesai,True
RPT-0091,2025-04-15T09:47,2025-04-15T05:47,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.267558,106.799582,Sekitar Cipete Utara (data sintetis),30,58,Ditangani,True
RPT-0092,2025-11-29T05:42,2025-11-29T00:42,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.229948,106.779387,Sekitar Grogol Utara (data sintetis),22,39,Diverifikasi,True
RPT-0093,2025-12-07T13:29,2025-12-07T09:29,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.344026,106.82454,Sekitar Srengseng Sawah (data sintetis),41,65,Diverifikasi,True
RPT-0094,2025-11-12T09:53,2025-11-12T07:53,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.275541,106.833266,Sekitar Pejaten Barat (data sintetis),74,89,Selesai,True
RPT-0095,2025-12-05T08:28,2025-12-05T04:28,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.343811,106.825333,Sekitar Srengseng Sawah (data sintetis),79,62,Ditangani,True
RPT-0096,2025-03-31T23:25,2025-03-31T22:25,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.228953,106.779944,Sekitar Grogol Utara (data sintetis),49,60,Selesai,True
RPT-0097,2025-04-28T10:29,2025-04-28T04:29,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.217063,106.828441,Sekitar Karet Kuningan (data sintetis),60,86,Diteruskan,True
RPT-0098,2025-09-24T23:59,2025-09-24T21:59,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.252944,106.768829,Sekitar Kebayoran Lama Utara (data sintetis),48,37,Selesai,True
RPT-0099,2025-06-10T07:59,2025-06-10T03:59,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.279923,106.809477,Sekitar Cipete Selatan (data sintetis),32,59,Diterima,True
RPT-0100,2025-08-04T10:41,2025-08-04T08:41,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.333558,106.818994,Sekitar Jagakarsa (data sintetis),30,41,Selesai,True
RPT-0101,2025-08-28T20:09,2025-08-28T16:09,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.278284,106.809703,Sekitar Cipete Selatan (data sintetis),54,68,Diteruskan,True
RPT-0102,2025-10-07T07:42,2025-10-07T03:42,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.25541,106.855837,Sekitar Kalibata (data sintetis),20,77,Selesai,True
RPT-0103,2025-04-30T14:48,2025-04-30T08:48,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.2354,106.846758,Sekitar Tebet Barat (data sintetis),41,45,Diteruskan,True
RPT-0104,2025-11-15T04:24,2025-11-15T04:24,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.28065,106.810018,Sekitar Cipete Selatan (data sintetis),54,89,Selesai,True
RPT-0105,2025-09-10T14:28,2025-09-10T11:28,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.226208,106.800995,Sekitar Senayan (data sintetis),40,92,Diterima,True
RPT-0106,2025-03-02T16:39,2025-03-02T09:39,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.286686,106.797067,Sekitar Gandaria Selatan (data sintetis),34,87,Diterima,True
RPT-0107,2025-01-13T13:21,2025-01-13T09:21,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.23508,106.846044,Sekitar Tebet Barat (data sintetis),87,44,Diterima,True
RPT-0108,2025-01-24T22:22,2025-01-24T20:22,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.291501,106.801045,Sekitar Cilandak Barat (data sintetis),92,46,Diterima,True
RPT-0109,2025-10-26T15:42,2025-10-26T11:42,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.310997,106.820801,Sekitar Ragunan (data sintetis),91,41,Ditangani,True
RPT-0110,2025-05-14T05:08,2025-05-14T02:08,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.218113,106.829682,Sekitar Karet Kuningan (data sintetis),69,94,Diverifikasi,True
RPT-0111,2025-01-01T20:42,2025-01-01T19:42,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.256279,106.853715,Sekitar Kalibata (data sintetis),28,43,Diverifikasi,True
RPT-0112,2025-11-21T09:46,2025-11-21T02:46,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.250234,106.840188,Sekitar Pancoran (data sintetis),70,76,Diterima,True
RPT-0113,2025-12-14T12:11,2025-12-14T07:11,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.253323,106.830891,Sekitar Duren Tiga (data sintetis),32,91,Diteruskan,True
RPT-0114,2025-04-09T21:40,2025-04-09T21:40,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.246214,106.793683,Sekitar Kramat Pela (data sintetis),58,41,Selesai,True
RPT-0115,2025-01-30T15:31,2025-01-30T08:31,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.254582,106.82214,Sekitar Tegal Parang (data sintetis),65,40,Diverifikasi,True
RPT-0116,2025-10-30T13:51,2025-10-30T10:51,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.217924,106.838101,Sekitar Menteng Atas (data sintetis),81,36,Diterima,True
RPT-0117,2025-03-31T17:52,2025-03-31T12:52,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.254357,106.828523,Sekitar Duren Tiga (data sintetis),71,94,Ditangani,True
RPT-0118,2025-11-05T21:53,2025-11-05T17:53,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.229209,106.780457,Sekitar Grogol Utara (data sintetis),46,78,Ditangani,True
RPT-0119,2025-02-16T00:16,2025-02-15T18:16,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.227072,106.799262,Sekitar Senayan (data sintetis),72,75,Diterima,True
RPT-0120,2025-02-19T10:10,2025-02-19T07:10,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.239351,106.834524,Sekitar Menteng Dalam (data sintetis),75,87,Selesai,True
RPT-0121,2025-12-21T18:30,2025-12-21T18:30,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.239966,106.836746,Sekitar Menteng Dalam (data sintetis),79,71,Selesai,True
RPT-0122,2025-01-11T02:18,2025-01-10T19:18,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.21741,106.840497,Sekitar Menteng Atas (data sintetis),86,86,Ditangani,True
RPT-0123,2025-03-17T19:16,2025-03-17T15:16,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.275028,106.833829,Sekitar Pejaten Barat (data sintetis),77,48,Diverifikasi,True
RPT-0124,2025-07-19T21:33,2025-07-19T14:33,Kendaraan Mencurigakan,Laporan sintetis untuk pengujian alur aplikasi.,-6.286026,106.797998,Sekitar Gandaria Selatan (data sintetis),56,76,Ditangani,True
RPT-0125,2025-01-12T10:26,2025-01-12T04:26,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.240254,106.834334,Sekitar Menteng Dalam (data sintetis),57,89,Selesai,True
RPT-0126,2025-11-06T13:05,2025-11-06T11:05,Kejahatan,Laporan sintetis untuk pengujian alur aplikasi.,-6.257046,106.854947,Sekitar Kalibata (data sintetis),45,75,Selesai,True
RPT-0127,2025-10-26T18:04,2025-10-26T13:04,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.250178,106.837752,Sekitar Pancoran (data sintetis),33,75,Diteruskan,True
RPT-0128,2025-08-27T00:27,2025-08-26T22:27,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.249591,106.838623,Sekitar Pancoran (data sintetis),26,43,Diverifikasi,True
RPT-0129,2025-07-27T23:47,2025-07-27T19:47,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.277699,106.766702,Sekitar Pondok Pinang (data sintetis),78,62,Diverifikasi,True
RPT-0130,2025-12-31T13:01,2025-12-31T06:01,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.250105,106.838196,Sekitar Pancoran (data sintetis),41,89,Diverifikasi,True
RPT-0131,2025-11-01T05:15,2025-11-01T04:15,Kerawanan Lingkungan,Laporan sintetis untuk pengujian alur aplikasi.,-6.285068,106.836773,Sekitar Jati Padang (data sintetis),94,36,Diverifikasi,True
RPT-0132,2025-05-23T19:40,2025-05-23T14:40,Premanisme,Laporan sintetis untuk pengujian alur aplikasi.,-6.230274,106.854591,Sekitar Tebet Timur (data sintetis),63,81,Diteruskan,True
RPT-0133,2025-08-23T21:42,2025-08-23T19:42,Tawuran,Laporan sintetis untuk pengujian alur aplikasi.,-6.255882,106.821275,Sekitar Tegal Parang (data sintetis),79,71,Diverifikasi,True
