audit_id,timestamp,user_id,action,resource_type,resource_id,result,is_synthetic
AUD-00033,2025-11-20T13:14,USER-003,LOGIN,evaluation,RES-0204,SUCCESS,True
AUD-00034,2025-10-13T19:00,USER-002,VIEW_MAP,prediction,RES-0901,SUCCESS,True
AUD-00035,2025-11-29T23:29,USER-006,RUN_PREDICTION,recommendation,RES-0750,SUCCESS,True
AUD-00036,2025-12-03T10:52,USER-006,RUN_PREDICTION,map,RES-0786,SUCCESS,True
AUD-00037,2025-10-17T11:18,USER-006,ACK_WARNING,recommendation,RES-0640,SUCCESS,True
AUD-00038,2025-10-19T10:58,USER-005,APPROVE_RECOMMENDATION,warning,RES-0048,SUCCESS,True
AUD-00039,2025-11-04T18:53,USER-005,VIEW_MAP,evaluation,RES-0529,SUCCESS,True
AUD-00040,2025-11-17T08:01,USER-001,ACK_WARNING,evaluation,RES-0922,SUCCESS,True
AUD-00041,2025-11-21T18:28,USER-004,RUN_PREDICTION,prediction,RES-0819,SUCCESS,True
AUD-00042,2025-11-11T04:01,USER-006,VIEW_MAP,map,RES-0398,SUCCESS,True
AUD-00043,2025-11-18T02:24,USER-005,APPROVE_RECOMMENDATION,prediction,RES-0671,SUCCESS,True
AUD-00044,2025-12-28T22:06,USER-004,LOGIN,map,RES-0081,SUCCESS,True
AUD-00045,2025-11-25T07:46,USER-003,VIEW_EVALUATION,map,RES-0709,SUCCESS,True
AUD-00046,2025-10-02T23:08,USER-003,VIEW_EVALUATION,prediction,RES-0006,SUCCESS,True
AUD-00047,2025-12-04T19:29,USER-003,LOGIN,prediction,RES-0586,SUCCESS,True
AUD-00048,2025-12-23T12:15,USER-004,VIEW_EVALUATION,prediction,RES-0933,SUCCESS,True
AUD-00049,2025-12-25T04:07,USER-004,ACK_WARNING,evaluation,RES-0349,SUCCESS,True
AUD-00050,2025-11-27T04:15,USER-002,LOGIN,warning,RES-0601,SUCCESS,True
AUD-00051,2025-11-01T05:18,USER-004,VIEW_DASHBOARD,map,RES-0998,SUCCESS,True
AUD-00052,2025-10-22T05:29,USER-004,VIEW_EVALUATION,map,RES-0929,SUCCESS,True
AUD-00053,2025-10-13T20:59,USER-005,LOGIN,prediction,RES-0270,SUCCESS,True
AUD-00054,2025-10-08T12:09,USER-006,APPROVE_RECOMMENDATION,evaluation,RES-0897,SUCCESS,True
AUD-00055,2025-11-28T13:47,USER-001,RUN_PREDICTION,recommendation,RES-0829,SUCCESS,True
AUD-00056,2025-10-23T23:32,USER-005,VIEW_DASHBOARD,warning,RES-0148,SUCCESS,True
AUD-00057,2025-11-12T19:19,USER-006,VIEW_DASHBOARD,dashboard,RES-0506,SUCCESS,True
AUD-00058,2025-10-25T23:15,USER-002,VIEW_EVALUATION,prediction,RES-0854,SUCCESS,True
AUD-00059,2025-11-30T20:20,USER-006,RUN_PREDICTION,warning,RES-0556,SUCCESS,True
AUD-00060,2025-11-22T00:13,USER-004,RUN_PREDICTION,recommendation,RES-0692,SUCCESS,True
AUD-00061,2025-11-15T07:12,USER-004,APPROVE_RECOMMENDATION,evaluation,RES-0284,SUCCESS,True
AUD-00062,2025-11-01T11:56,USER-006,VIEW_DASHBOARD,recommendation,RES-0157,SUCCESS,True
AUD-00063,2025-12-18T02:40,USER-006,LOGIN,prediction,RES-0550,SUCCESS,True
AUD-00064,2025-12-19T00:25,USER-006,VIEW_MAP,recommendation,RES-0795,SUCCESS,True
AUD-00065,2025-10-11T21:01,USER-003,VIEW_DASHBOARD,evaluation,RES-0313,SUCCESS,True
AUD-00066,2025-10-01T08:42,USER-006,VIEW_DASHBOARD,dashboard,RES-0132,SUCCESS,True
AUD-00067,2025-12-25T22:31,USER-001,LOGIN,map,RES-0834,SUCCESS,True
AUD-00068,2025-10-04T13:20,USER-001,LOGIN,evaluation,RES-0596,SUCCESS,True
AUD-00069,2025-12-16T03:22,USER-003,ACK_WARNING,dashboard,RES-0800,SUCCESS,True
AUD-00070,2025-12-06T23:15,USER-005,RUN_PREDICTION,evaluation,RES-0441,SUCCESS,True
AUD-00071,2025-10-19T20:35,USER-005,VIEW_EVALUATION,dashboard,RES-0691,SUCCESS,True
AUD-00072,2025-12-22T17:28,USER-001,LOGIN,evaluation,RES-0428,SUCCESS,True
AUD-00073,2025-12-05T19:01,USER-003,VIEW_EVALUATION,warning,RES-0760,SUCCESS,True
AUD-00074,2025-12-17T19:35,USER-002,ACK_WARNING,prediction,RES-0535,SUCCESS,True
AUD-00075,2025-11-03T09:30,USER-002,APPROVE_RECOMMENDATION,prediction,RES-0803,SUCCESS,True
AUD-00076,2025-10-31T07:53,USER-002,APPROVE_RECOMMENDATION,recommendation,RES-0816,SUCCESS,True
AUD-00077,2025-11-22T05:30,USER-005,VIEW_EVALUATION,warning,RES-0574,SUCCESS,True
AUD-00078,2025-10-03T23:26,USER-004,ACK_WARNING,warning,RES-0506,SUCCESS,True
AUD-00079,2025-10-06T01:23,USER-006,LOGIN,dashboard,RES-0108,SUCCESS,True
AUD-00080,2025-12-04T14:11,USER-006,VIEW_EVALUATION,warning,RES-0524,SUCCESS,True
AUD-00081,2025-10-16T19:46,USER-004,RUN_PREDICTION,map,RES-0738,SUCCESS,True
AUD-00082,2025-10-03T13:18,USER-004,VIEW_EVALUATION,warning,RES-0961,SUCCESS,True
AUD-00083,2025-10-05T12:52,USER-002,VIEW_EVALUATION,dashboard,RES-0149,SUCCESS,True
AUD-00084,2025-12-10T21:30,USER-002,VIEW_DASHBOARD,map,RES-0350,SUCCESS,True
AUD-00085,2025-11-30T01:59,USER-005,ACK_WARNING,dashboard,RES-0767,SUCCESS,True
AUD-00086,2025-11-03T16:09,USER-003,VIEW_DASHBOARD,recommendation,RES-0529,SUCCESS,True
AUD-00087,2025-12-14T16:04,USER-005,APPROVE_RECOMMENDATION,prediction,RES-0438,SUCCESS,True
AUD-00088,2025-11-17T03:48,USER-005,APPROVE_RECOMMENDATION,dashboard,RES-0681,SUCCESS,True
AUD-00089,2025-10-22T21:38,USER-001,ACK_WARNING,map,RES-0715,SUCCESS,True
AUD-00090,2025-11-02T16:08,USER-003,LOGIN,evaluation,RES-0011,SUCCESS,True
AUD-00091,2025-10-27T07:35,USER-005,VIEW_EVALUATION,prediction,RES-0447,SUCCESS,True
AUD-00092,2025-11-13T16:04,USER-002,VIEW_EVALUATION,warning,RES-0387,SUCCESS,True
AUD-00093,2025-11-08T22:33,USER-002,VIEW_DASHBOARD,recommendation,RES-0725,SUCCESS,True
AUD-00094,2025-11-13T00:31,USER-001,APPROVE_RECOMMENDATION,dashboard,RES-0821,SUCCESS,True
AUD-00095,2025-12-15T00:43,USER-003,ACK_WARNING,warning,RES-0380,SUCCESS,True
AUD-00096,2025-12-02T02:17,USER-001,LOGIN,map,RES-0697,SUCCESS,True
AUD-00097,2025-12-11T10:34,USER-006,VIEW_MAP,recommendation,RES-0400,SUCCESS,True
AUD-00098,2025-10-14T20:24,USER-003,ACK_WARNING,recommendation,RES-0523,SUCCESS,True
AUD-00099,2025-10-19T05:19,USER-006,VIEW_DASHBOARD,recommendation,RES-0325,SUCCESS,True
AUD-00100,2025-12-21T12:38,USER-002,VIEW_DASHBOARD,warning,RES-0437,SUCCESS,True
AUD-00101,2025-11-04T11:15,USER-006,RUN_PREDICTION,warning,RES-0803,SUCCESS,True
AUD-00102,2025-11-19T14:10,USER-005,APPROVE_RECOMMENDATION,evaluation,RES-0296,SUCCESS,True
AUD-00103,2025-10-22T16:47,USER-005,VIEW_DASHBOARD,prediction,RES-0578,SUCCESS,True
AUD-00104,2025-10-10T07:32,USER-003,APPROVE_RECOMMENDATION,recommendation,RES-0241,SUCCESS,True
AUD-00105,2025-10-25T10:21,USER-004,ACK_WARNING,recommendation,RES-0707,SUCCESS,True
AUD-00106,2025-12-22T12:59,USER-003,LOGIN,prediction,RES-0507,SUCCESS,True
AUD-00107,2025-10-03T07:29,USER-002,APPROVE_RECOMMENDATION,map,RES-0854,SUCCESS,True
AUD-00108,2025-12-20T21:53,USER-002,VIEW_EVALUATION,warning,RES-0400,SUCCESS,True
AUD-00109,2025-12-19T23:33,USER-006,RUN_PREDICTION,dashboard,RES-0312,SUCCESS,True
AUD-00110,2025-12-22T19:30,USER-004,RUN_PREDICTION,dashboard,RES-0861,SUCCESS,True
AUD-00111,2025-10-27T10:44,USER-002,APPROVE_RECOMMENDATION,evaluation,RES-0097,SUCCESS,True
AUD-00112,2025-11-04T14:02,USER-005,RUN_PREDICTION,warning,RES-0161,SUCCESS,True
AUD-00113,2025-12-09T06:51,USER-002,VIEW_MAP,warning,RES-0305,SUCCESS,True
AUD-00114,2025-12-29T07:49,USER-005,ACK_WARNING,map,RES-0481,SUCCESS,True
AUD-00115,2025-12-19T11:43,USER-005,VIEW_MAP,evaluation,RES-0598,SUCCESS,True
AUD-00116,2025-11-17T10:45,USER-006,LOGIN,dashboard,RES-0807,SUCCESS,True
AUD-00117,2025-11-12T23:52,USER-002,LOGIN,evaluation,RES-0291,SUCCESS,True
AUD-00118,2025-10-24T03:02,USER-004,VIEW_EVALUATION,dashboard,RES-0285,SUCCESS,True
AUD-00119,2025-10-10T05:34,USER-002,VIEW_DASHBOARD,recommendation,RES-0925,SUCCESS,True
AUD-00120,2025-10-18T14:57,USER-001,APPROVE_RECOMMENDATION,recommendation,RES-0563,SUCCESS,True
AUD-00121,2025-10-22T17:12,USER-003,LOGIN,dashboard,RES-0219,SUCCESS,True
AUD-00122,2025-12-13T05:49,USER-003,RUN_PREDICTION,recommendation,RES-0892,SUCCESS,True
AUD-00123,2025-10-30T19:44,USER-003,VIEW_DASHBOARD,evaluation,RES-0258,SUCCESS,True
AUD-00124,2025-12-26T19:42,USER-004,VIEW_EVALUATION,warning,RES-0601,SUCCESS,True
AUD-00125,2025-11-14T22:24,USER-006,VIEW_DASHBOARD,evaluation,RES-0263,SUCCESS,True
AUD-00126,2025-11-20T08:49,USER-001,ACK_WARNING,prediction,RES-0069,SUCCESS,True
AUD-00127,2025-10-25T09:27,USER-001,VIEW_DASHBOARD,prediction,RES-0054,SUCCESS,True
AUD-00128,2025-12-20T02:39,USER-002,LOGIN,map,RES-0264,SUCCESS,True
AUD-00129,2025-11-27T16:45,USER-005,RUN_PREDICTION,dashboard,RES-0284,SUCCESS,True
AUD-00130,2025-10-19T23:47,USER-002,VIEW_DASHBOARD,prediction,RES-0915,SUCCESS,True
AUD-00131,2025-12-20T14:31,USER-002,VIEW_EVALUATION,prediction,RES-0039,SUCCESS,True
AUD-00132,2025-10-30T00:22,USER-004,VIEW_EVALUATION,map,RES-0303,SUCCESS,True
AUD-00133,2025-12-17T01:34,USER-003,VIEW_EVALUATION,dashboard,RES-0151,SUCCESS,True
AUD-00134,2025-12-02T03:21,USER-002,VIEW_EVALUATION,map,RES-0322,SUCCESS,True
AUD-00135,2025-11-06T10:36,USER-006,APPROVE_RECOMMENDATION,dashboard,RES-0944,SUCCESS,True
AUD-00136,2025-12-21T04:50,USER-004,VIEW_DASHBOARD,evaluation,RES-0181,SUCCESS,True
AUD-00137,2025-10-25T19:34,USER-001,VIEW_MAP,prediction,RES-0563,SUCCESS,True
AUD-00138,2025-12-30T20:43,USER-001,VIEW_DASHBOARD,warning,RES-0930,SUCCESS,True
AUD-00139,2025-10-13T20:06,USER-006,RUN_PREDICTION,evaluation,RES-0796,SUCCESS,True
AUD-00140,2025-12-25T07:51,USER-006,ACK_WARNING,evaluation,RES-0532,SUCCESS,True
AUD-00141,2025-12-09T10:08,USER-006,VIEW_MAP,evaluation,RES-0810,SUCCESS,True
AUD-00142,2025-11-30T00:58,USER-004,LOGIN,evaluation,RES-0614,SUCCESS,True
AUD-00143,2025-12-23T17:24,USER-004,LOGIN,evaluation,RES-0231,SUCCESS,True
AUD-00144,2025-10-23T00:45,USER-004,APPROVE_RECOMMENDATION,warning,RES-0095,SUCCESS,True
AUD-00145,2025-11-19T18:26,USER-005,VIEW_EVALUATION,map,RES-0089,SUCCESS,True
AUD-00146,2025-11-06T15:08,USER-006,APPROVE_RECOMMENDATION,warning,RES-0848,SUCCESS,True
AUD-00147,2025-12-11T20:31,USER-003,APPROVE_RECOMMENDATION,prediction,RES-0641,SUCCESS,True
AUD-00148,2025-12-25T06:41,USER-004,VIEW_MAP,warning,RES-0906,SUCCESS,True
AUD-00149,2025-11-17T13:48,USER-002,ACK_WARNING,map,RES-0316,SUCCESS,True
AUD-00150,2025-10-22T01:14,USER-003,LOGIN,evaluation,RES-0755,SUCCESS,True
AUD-00151,2025-12-22T03:47,USER-004,ACK_WARNING,prediction,RES-0010,SUCCESS,True
AUD-00152,2025-12-16T09:04,USER-004,VIEW_DASHBOARD,warning,RES-0245,SUCCESS,True
AUD-00153,2025-11-02T07:23,USER-005,VIEW_EVALUATION,recommendation,RES-0887,SUCCESS,True
AUD-00154,2025-11-14T13:44,USER-005,LOGIN,evaluation,RES-0192,SUCCESS,True
AUD-00155,2025-10-10T14:01,USER-002,APPROVE_RECOMMENDATION,recommendation,RES-0961,SUCCESS,True
AUD-00156,2025-10-30T21:19,USER-002,VIEW_MAP,map,RES-0821,SUCCESS,True
AUD-00157,2025-11-08T00:21,USER-003,APPROVE_RECOMMENDATION,warning,RES-0848,SUCCESS,True
AUD-00158,2025-12-06T09:46,USER-001,VIEW_MAP,map,RES-0255,SUCCESS,True
AUD-00159,2025-11-29T05:27,USER-004,APPROVE_RECOMMENDATION,map,RES-0240,SUCCESS,True
AUD-00160,2025-12-28T05:06,USER-001,VIEW_DASHBOARD,prediction,RES-0634,SUCCESS,True
AUD-00161,2025-12-07T14:59,USER-005,ACK_WARNING,warning,RES-0783,SUCCESS,True
AUD-00162,2025-10-29T22:46,USER-005,APPROVE_RECOMMENDATION,map,RES-0110,SUCCESS,True
AUD-00163,2025-11-04T20:45,USER-006,ACK_WARNING,map,RES-0746,SUCCESS,True
AUD-00164,2025-10-30T18:42,USER-002,LOGIN,dashboard,RES-0636,SUCCESS,True
AUD-00165,2025-11-07T01:33,USER-001,VIEW_EVALUATION,prediction,RES-0839,SUCCESS,True
AUD-00166,2025-10-12T04:01,USER-002,VIEW_DASHBOARD,dashboard,RES-0383,SUCCESS,True
AUD-00167,2025-12-06T21:52,USER-005,VIEW_MAP,warning,RES-0991,SUCCESS,True
AUD-00168,2025-11-02T13:21,USER-002,VIEW_DASHBOARD,dashboard,RES-0775,SUCCESS,True
AUD-00169,2025-10-09T10:17,USER-002,VIEW_DASHBOARD,recommendation,RES-0625,SUCCESS,True
AUD-00170,2025-12-05T18:59,USER-002,VIEW_EVALUATION,dashboard,RES-0620,SUCCESS,True
AUD-00171,2025-10-06T08:45,USER-006,VIEW_EVALUATION,dashboard,RES-0121,SUCCESS,True
AUD-00172,2025-12-20T07:42,USER-004,ACK_WARNING,recommendation,RES-0955,SUCCESS,True
AUD-00173,2025-12-12T07:27,USER-005,RUN_PREDICTION,map,RES-0303,SUCCESS,True
AUD-00174,2025-10-09T20:11,USER-006,LOGIN,warning,RES-0315,SUCCESS,True
AUD-00175,2025-10-04T11:19,USER-006,ACK_WARNING,map,RES-0067,SUCCESS,True
AUD-00176,2025-11-25T03:11,USER-001,VIEW_MAP,recommendation,RES-0658,SUCCESS,True
AUD-00177,2025-10-14T07:48,USER-005,VIEW_DASHBOARD,map,RES-0957,SUCCESS,True
AUD-00178,2025-11-08T23:29,USER-001,VIEW_DASHBOARD,dashboard,RES-0656,SUCCESS,True
AUD-00179,2025-12-01T05:53,USER-003,VIEW_MAP,evaluation,RES-0694,SUCCESS,True
AUD-00180,2025-12-10T14:13,USER-001,VIEW_EVALUATION,dashboard,RES-0844,SUCCESS,True
AUD-00181,2025-12-11T16:59,USER-002,LOGIN,prediction,RES-0627,SUCCESS,True
AUD-00182,2025-10-31T18:50,USER-002,LOGIN,evaluation,RES-0066,SUCCESS,True
AUD-00183,2025-10-30T11:56,USER-005,RUN_PREDICTION,evaluation,RES-0001,SUCCESS,True
AUD-00184,2025-12-09T07:38,USER-001,VIEW_EVALUATION,evaluation,RES-0142,SUCCESS,True
AUD-00185,2025-10-14T11:50,USER-003,VIEW_DASHBOARD,prediction,RES-0150,SUCCESS,True
AUD-00186,2025-10-06T13:50,USER-005,VIEW_DASHBOARD,evaluation,RES-0383,SUCCESS,True
AUD-00187,2025-10-19T22:54,USER-002,ACK_WARNING,recommendation,RES-0657,SUCCESS,True
AUD-00188,2025-11-24T06:44,USER-005,APPROVE_RECOMMENDATION,warning,RES-0967,SUCCESS,True
AUD-00189,2025-10-15T01:18,USER-005,VIEW_EVALUATION,dashboard,RES-0890,SUCCESS,True
AUD-00190,2025-11-13T22:38,USER-001,VIEW_EVALUATION,warning,RES-0470,SUCCESS,True
AUD-00191,2025-10-03T09:24,USER-002,VIEW_DASHBOARD,dashboard,RES-0150,SUCCESS,True
AUD-00192,2025-10-25T16:43,USER-006,VIEW_EVALUATION,recommendation,RES-0068,SUCCESS,True
AUD-00193,2025-12-18T09:17,USER-002,RUN_PREDICTION,warning,RES-0998,SUCCESS,True
AUD-00194,2025-10-13T04:51,USER-006,ACK_WARNING,prediction,RES-0518,SUCCESS,True
AUD-00195,2025-10-05T20:16,USER-003,VIEW_EVALUATION,map,RES-0074,SUCCESS,True
AUD-00196,2025-12-13T10:24,USER-006,VIEW_DASHBOARD,recommendation,RES-0726,SUCCESS,True
AUD-00197,2025-11-02T21:44,USER-001,RUN_PREDICTION,recommendation,RES-0595,SUCCESS,True
AUD-00198,2025-11-21T17:20,USER-002,RUN_PREDICTION,warning,RES-0419,SUCCESS,True
AUD-00199,2025-11-09T15:18,USER-001,VIEW_DASHBOARD,map,RES-0502,SUCCESS,True
AUD-00200,2025-12-21T01:19,USER-005,RUN_PREDICTION,warning,RES-0160,SUCCESS,True
AUD-00201,2025-11-27T17:47,USER-002,ACK_WARNING,recommendation,RES-0636,SUCCESS,True
AUD-00202,2025-10-01T11:34,USER-001,LOGIN,recommendation,RES-0355,SUCCESS,True
AUD-00203,2025-11-24T23:47,USER-005,APPROVE_RECOMMENDATION,dashboard,RES-0288,SUCCESS,True
AUD-00204,2025-11-22T23:23,USER-005,VIEW_DASHBOARD,dashboard,RES-0493,SUCCESS,True
AUD-00205,2025-10-22T16:36,USER-005,RUN_PREDICTION,dashboard,RES-0864,SUCCESS,True
AUD-00206,2025-12-20T03:05,USER-002,VIEW_EVALUATION,recommendation,RES-0401,SUCCESS,True
AUD-00207,2025-12-27T13:10,USER-001,ACK_WARNING,prediction,RES-0121,SUCCESS,True
AUD-00208,2025-12-08T04:52,USER-003,VIEW_DASHBOARD,evaluation,RES-0533,SUCCESS,True
AUD-00209,2025-12-29T10:49,USER-002,ACK_WARNING,dashboard,RES-0758,SUCCESS,True
AUD-00210,2025-11-04T00:27,USER-004,VIEW_DASHBOARD,warning,RES-0775,SUCCESS,True
AUD-00211,2025-10-16T16:19,USER-005,VIEW_MAP,warning,RES-0775,SUCCESS,True
AUD-00212,2025-12-25T08:45,USER-003,RUN_PREDICTION,evaluation,RES-0714,SUCCESS,True
AUD-00213,2025-12-05T10:55,USER-003,VIEW_EVALUATION,prediction,RES-0376,SUCCESS,True
AUD-00214,2025-11-12T05:52,USER-002,RUN_PREDICTION,dashboard,RES-0979,SUCCESS,True
AUD-00215,2025-10-20T23:37,USER-003,ACK_WARNING,prediction,RES-0524,SUCCESS,True
AUD-00216,2025-10-10T09:42,USER-003,VIEW_DASHBOARD,dashboard,RES-0317,SUCCESS,True
AUD-00217,2025-11-07T04:32,USER-006,ACK_WARNING,dashboard,RES-0618,SUCCESS,True
AUD-00218,2025-10-31T18:49,USER-001,VIEW_EVALUATION,warning,RES-0585,SUCCESS,True
AUD-00219,2025-11-12T03:13,USER-001,VIEW_EVALUATION,warning,RES-0103,SUCCESS,True
AUD-00220,2025-11-20T10:44,USER-002,RUN_PREDICTION,evaluation,RES-0956,SUCCESS,True
AUD-00221,2025-11-09T03:57,USER-004,LOGIN,map,RES-0810,SUCCESS,True
AUD-00222,2025-11-02T08:56,USER-006,APPROVE_RECOMMENDATION,evaluation,RES-0256,SUCCESS,True
AUD-00223,2025-10-09T19:02,USER-003,RUN_PREDICTION,prediction,RES-0826,SUCCESS,True
AUD-00224,2025-10-25T18:59,USER-006,ACK_WARNING,warning,RES-0445,SUCCESS,True
AUD-00225,2025-11-26T09:48,USER-005,VIEW_DASHBOARD,warning,RES-0835,SUCCESS,True
AUD-00226,2025-12-14T06:09,USER-001,LOGIN,dashboard,RES-0161,SUCCESS,True
AUD-00227,2025-12-29T09:34,USER-001,LOGIN,recommendation,RES-0064,SUCCESS,True
AUD-00228,2025-12-23T01:08,USER-004,LOGIN,dashboard,RES-0296,SUCCESS,True
AUD-00229,2025-10-01T08:44,USER-002,RUN_PREDICTION,evaluation,RES-0133,SUCCESS,True
AUD-00230,2025-12-01T02:40,USER-002,VIEW_EVALUATION,recommendation,RES-0964,SUCCESS,True
AUD-00231,2025-10-30T13:49,USER-001,RUN_PREDICTION,evaluation,RES-0953,SUCCESS,True
AUD-00232,2025-12-30T17:39,USER-002,LOGIN,map,RES-0845,SUCCESS,True
AUD-00233,2025-11-10T09:03,USER-006,LOGIN,evaluation,RES-0457,SUCCESS,True
AUD-00234,2025-10-06T00:09,USER-003,VIEW_EVALUATION,warning,RES-0857,SUCCESS,True
AUD-00235,2025-10-12T04:37,USER-004,APPROVE_RECOMMENDATION,map,RES-0176,SUCCESS,True
AUD-00236,2025-11-23T17:39,USER-005,VIEW_EVALUATION,evaluation,RES-0002,SUCCESS,True
AUD-00237,2025-10-02T09:32,USER-003,VIEW_MAP,evaluation,RES-0409,SUCCESS,True
AUD-00238,2025-12-06T08:54,USER-001,VIEW_EVALUATION,warning,RES-0537,SUCCESS,True
AUD-00239,2025-12-04T20:17,USER-003,VIEW_EVALUATION,dashboard,RES-0995,SUCCESS,True
AUD-00240,2025-10-08T02:07,USER-005,VIEW_MAP,recommendation,RES-0737,SUCCESS,True
AUD-00241,2025-12-21T22:20,USER-003,VIEW_DASHBOARD,warning,RES-0414,SUCCESS,True
AUD-00242,2025-12-07T23:36,USER-001,VIEW_MAP,dashboard,RES-0871,SUCCESS,True
AUD-00243,2025-10-13T03:04,USER-002,ACK_WARNING,evaluation,RES-0019,SUCCESS,True
AUD-00244,2025-12-20T08:17,USER-006,VIEW_EVALUATION,map,RES-0525,SUCCESS,True
AUD-00245,2025-11-18T22:41,USER-001,ACK_WARNING,warning,RES-0482,SUCCESS,True
AUD-00246,2025-11-20T01:50,USER-001,APPROVE_RECOMMENDATION,recommendation,RES-0861,SUCCESS,True
AUD-00247,2025-12-22T18:51,USER-001,RUN_PREDICTION,recommendation,RES-0674,SUCCESS,True
AUD-00248,2025-11-21T15:45,USER-003,ACK_WARNING,map,RES-0009,SUCCESS,True
AUD-00249,2025-12-27T15:22,USER-001,ACK_WARNING,warning,RES-0047,SUCCESS,True
AUD-00250,2025-12-01T13:32,USER-001,VIEW_DASHBOARD,map,RES-0445,SUCCESS,True
AUD-00251,2025-11-12T21:15,USER-003,APPROVE_RECOMMENDATION,prediction,RES-0138,SUCCESS,True
AUD-00252,2025-11-25T04:49,USER-001,APPROVE_RECOMMENDATION,evaluation,RES-0683,SUCCESS,True
AUD-00253,2025-10-16T11:42,USER-001,ACK_WARNING,dashboard,RES-0250,SUCCESS,True
AUD-00254,2025-10-27T01:56,USER-004,VIEW_EVALUATION,evaluation,RES-0363,SUCCESS,True
AUD-00255,2025-10-26T13:03,USER-004,ACK_WARNING,warning,RES-0602,SUCCESS,True
AUD-00256,2025-10-28T06:53,USER-006,VIEW_DASHBOARD,recommendation,RES-0857,SUCCESS,True
AUD-00257,2025-11-14T04:02,USER-003,ACK_WARNING,warning,RES-0075,SUCCESS,True
AUD-00258,2025-10-23T13:01,USER-002,VIEW_DASHBOARD,map,RES-0832,SUCCESS,True
AUD-00259,2025-12-24T13:07,USER-006,APPROVE_RECOMMENDATION,map,RES-0879,SUCCESS,True
AUD-00260,2025-12-31T11:27,USER-006,VIEW_DASHBOARD,evaluation,RES-0661,SUCCESS,True
AUD-00261,2025-10-05T02:38,USER-003,VIEW_EVALUATION,prediction,RES-0172,SUCCESS,True
AUD-00262,2025-12-03T11:21,USER-003,APPROVE_RECOMMENDATION,dashboard,RES-0497,SUCCESS,True
